"LAKE_HISTORY_ID","LOCATION_PWL_ID","PWS.ID"
"1006GEO0367","1006-0016","NY5618220"
"1006GEO0367","1006-0016","NY5615221"
"1006GEO0367","1006-0016","NY5630124"
"1006GEO0367","1006-0016","NY5615105"
"1006GEO0367","1006-0016","NY5615115"
"1006GEO0367","1006-0016","NY5606467"
"1006GEO0367","1006-0016","NY5600105"
"1006GEO0367","1006-0016","NY5615110"
"1006GEO0367","1006-0016","NY5618139"
"1006GEO0367","1006-0016","NY5621608"
"1006GEO0367","1006-0016","NY5618359"
"1006GEO0367","1006-0016","NY5622708"
"1006GEO0367","1006-0016","NY5615223"
"1006GEO0367","1006-0016","NY5612665"
"1101DOR0098",NA,"NY5700119"
"1101LOU0035","1101-0068","NY4500168"
"1101MEC1083","1101-0059","NY4500166"
"1101SAR0027","1101-0012","NY4514100"
"1102TOM1095","1102-0006","NY4100050"
"1104CAM0152","1104-0125","NY1700018"
"1104FOR0340","1104-0193","NY5612692"
"1104IRE0136A","1104-0114","NY2800136"
"1201COL0670",NA,"NY1700019"
"1201DOL0709",NA,"NY2102299"
"1201FON0678A","1201-0123","NY2800138"
"1201FOR0681",NA,"NY2800139"
"1201KLO0708","1201-0160","NY2102308"
"1201MAR0570","1201-0113","NY4630021"
"1201SPRXXX1",NA,"NY2800137"
"1201STO0503A","1201-0098","NY0100198"
"1201UWB0940A","1201-0198","NY2102307"
"1202COB0583","1202-0015","NY4700094"
"1202ENG0589","1202-0009","NY4700099"
"1202SCH0638A","1202-0012","NY7003493"
"1202TAN0655A","1202-0069","NY1900033"
"1202UWB0579","1202-0016","NY4700093"
"1202UWB0599","1202-0038","NY4700097"
"1203HER0798F",NA,"NY2102306"
"1203HIN0799","1203-0022","NY3202411"
"1301ALC0185","1301-0232","NY0100189"
"1301BOG0200","1301-0173","NY3503532"
"1301BRO0155","1301-0229","NY1902012"
"1301CAM0163A",NA,"NY5903452"
"1301CHA0341A","1301-0190","NY3503578"
"1301CHO0437","1301-0208","NY5503015"
"1301COX0152B","1301-0227","NY1900027"
"1301FER0028C",NA,"NY5903472"
"1301FIR0150A","1301-0128","NY4303673"
"1301LUS0204","1301-0174","NY3511887"
"1301MEL0331","1301-0183","NY1302760"
"1301POP0191","1301-0164","NY3511339"
"1301QUE0184A","1301-0056","NY4317681"
