OBJECTID,Water_System_Name,Water_SystemID,Facility_Type,Source_Name,Principle_County_Served,Facility_ID,Population_Served,Water_System_Type,FIN,WATER,LakeID
1,CHAZY LAKE BEACH,NY0930189,IN,CHAZY LAKE,CLINTON,2632318,25,NP,C-3-P20,Chazy Lake,1002CHA0020
2,SARATOGA LAKE MOTEL,NY4514100,IN,SARATOGA LAKE INTAKE,SARATOGA,2633128,29,NC,H-299-P27,Saratoga Lake,1101SAR0027
3,CAMP EAGLE ISLAND,NY1613581,IN,UPPER SARANAC LAKE,FRANKLIN,2571010,125,NP,C-15-P110-6-P114,Upper Saranac Lake,1003USA0114
4,LAKE PLACID V,NY1500284,IN,LAKE PLACID INTAKE,ESSEX,2570948,5000,C,C-25-26-35-5-P254,Lake Placid,1004PLA0254
5,CHESTERFIELD WD,NY1500283,IN,BUTTERNUT POND INTAKE,ESSEX,2570947,2300,C,C-25-8-P218,Butternut Pond,1004BUT0218
6,ESSEX WD,NY1500278,IN,LAKE CHAMPLAIN INTAKE,ESSEX,2570945,350,C,C-P1,Lake Champlain,1000CHA0001
7,WILLSBORO WD,NY1500299,IN,LAKE CHAMPLAIN INTAKE,ESSEX,2570956,1571,C,C-P1,Lake Champlain,1000CHA0001
8,PORT KENT WD,NY1520370,IN,LAKE CHAMPLAIN,ESSEX,2628361,158,C,C-P1,Lake Champlain,1000CHA0001
9,TICONDEROGA WD,NY1500293,IN,LAKE GEORGE INTAKE,ESSEX,2570953,3700,C,C-101-P367,Lake George,1006GEO0367
10,NORTHERN LAKE GEORGE RESORT,NY5615223,IN,LAKE GEORGE,WARREN,2571962,50,NC,C-101-P367,Lake George,1006GEO0367
11,ARCADY BAY ESTATES,NY5618220,IN,"LAKE GEORGE-INTAKE 300'OUT,20'DEEP",WARREN,2571977,470,C,C-101-P367,Lake George,1006GEO0367
12,"LODGES AT BOLTON LANDING, THE",NY5615105,IN,LAKE GEORGE,WARREN,2571934,50,NC,C-101-P367,Lake George,1006GEO0367
13,TAKUNDEWIDE HOMEOWNERS,NY5612665,IN,SURFACE INTAKE- LAKE GEORGE,WARREN,2571924,104,NC,C-101-P367,Lake George,1006GEO0367
14,SHORE COLONY,NY5618359,IN,"LAKE GEORGE INTAKE (80' OUT, 30' DEEP)",WARREN,2571979,100,NC,C-101-P367,Lake George,1006GEO0367
15,BAY SHORE COURT,NY5615107,IN,LAKE GEORGE,WARREN,2571935,24,NP,C-101-P367,Lake George,1006GEO0367
16,COOL LEDGE COTTAGES,NY5615115,IN,LAKE GEORGE,WARREN,2571938,50,NC,C-101-P367,Lake George,1006GEO0367
17,SILVER BAY ASSOCIATION,NY5615221,IN,SURFACE INTAKE LAKE GEORGE,WARREN,2571961,1000,NTNC,C-101-P367,Lake George,1006GEO0367
18,HAGUE COMMUNITY HOMEOWNERS ASSOCIATION,NY5600105,IN,"LAKE GEORGE (INTAKE DEPTH 60') 6"""" MAIN",WARREN,2571907,20,NP,C-101-P367,Lake George,1006GEO0367
19,ROCK COVE ASSOCIATION,NY5615135,IN,LAKE GEORGE INTAKE- 80' OUT 12'DEEP 1'UP,WARREN,2571941,23,NP,C-101-P367,Lake George,1006GEO0367
20,LAKE GEORGE VILLAGE,NY5600106,IN,BEACH ROAD INTAKE,WARREN,2588876,1800,C,C-101-P367,Lake George,1006GEO0367
21,SANS SOUCI OF CLEVERDALE,NY5606467,IN,LAKE GEORGE,WARREN,2571917,40,NC,C-101-P367,Lake George,1006GEO0367
22,PORTERS COTTAGES,NY5615133,IN,"LAKE GEORGE, 20' OUT, 10' DEEP",WARREN,2571940,60,NC,C-101-P367,Lake George,1006GEO0367
23,CANOE ISLAND LODGE INC,NY5615110,IN,SURFACE WATER - LAKE GEORGE,WARREN,2594596,165,NC,C-101-P367,Lake George,1006GEO0367
24,BECKLEYS LAKESIDE LOG CABINS & MARINA,NY5630124,IN,SURFACE WATER INTAKE - LAKE GEORGE,WARREN,2625956,20,NP,C-101-P367,Lake George,1006GEO0367
25,CHAUTAUQUA WATER DISTRICT #2,NY0602924,IN,CHAUTAUQUA LAKE INTAKE,CHAUTAUQUA,2570847,490,C,PA-63-13-4-P122,Chautauqua Lake,0202CHA0122
26,CHAUTAUQUA UTILITY DISTRICT,NY0600381,IN,"CHAUTAUQUA LAKE 10"""" INTAKE AT 300'",CHAUTAUQUA,2570845,9000,C,PA-63-13-4-P122,Chautauqua Lake,0202CHA0122
27,BUFFALO WATER AUTHORITY,NY1400422,IN,LAKE ERIE INTAKE,ERIE,2570933,276000,C,E-P5000,Lake Erie,0100ERI5000
28,ECWA DIRECT,NY1400443,IN,LAKE ERIE INTAKE FOR STURGEON POINT,ERIE,2570934,248000,C,E-P5000,Lake Erie,0100ERI5000
29,BOURNES BEACH ASSOCIATION,NY0617697,IN,INTAKE,CHAUTAUQUA,2570858,100,NC,E-P5000,Lake Erie,0100ERI5000
30,DUNKIRK CITY,NY0600360,IN,LAKE ERIE INTAKE,CHAUTAUQUA,2570839,11848,C,E-P5000,Lake Erie,0100ERI5000
31,MONTICELLO VILLAGE,NY5203337,IN,KIAMESHA LAKE,SULLIVAN,2571513,8000,C,D-1-38-3-P44,Kiamesha Lake,1402KIA0044
32,KIAMESHA ARTESIAN SPRING WATER COMPANY,NY5203344,IN,KIAMESHA LAKE INTAKE,SULLIVAN,2571516,1200,C,D-1-38-3-P44,Kiamesha Lake,1402KIA0044
33,EMERALD GREEN LAKE LOUISE MARIE WC,NY5203346,IN,LAKE LOUISE MARIE INTAKE,SULLIVAN,2571517,2400,C,D-1-35-P40,Lake Louise Marie,1402LOU0040
34,TANAGER LODGE,NY0922982,IN,UPPER CHATEAUGAY LAKE,CLINTON,2570893,70,NP,SLC-21-P2,Upper Chateaugay Lake,0902UCH0002
35,EAGLE ISLAND HOMEOWNERS ASSOC,NY5830005,IN,SODUS BAY,WAYNE,2572013,200,NC,ONT-84-P96,Sodus Bay,0302SOD0096
36,NEW YORK CITY SYSTEM,NY7003493,IN,NEW CROTON RESERVOIR,NEW YORK ( BOROUGH),2624853,8271000,C,H-31-P44,New Croton Reservoir,1302NEW0044
37,TROY CITY PWS,NY4100050,IN,TOMHANNOCK RESERVOIR(PRECHLORNTED),RENSSELAER,2571383,49170,C,H-264-4-P1095,Tomhannock Reservoir,1102TOM1095
38,TROY CITY PWS,NY4100050,IN,MELROSE CHLORINATION STATION,RENSSELAER,2571384,49170,C,H-264-4-P1095,Tomhannock Reservoir,1102TOM1095
39,TROY CITY PWS,NY4100050,IN,INTAKES,RENSSELAER,2596696,49170,C,H-264-4-P1095,Tomhannock Reservoir,1102TOM1095
40,AVON VILLAGE,NY2501012,IN,CONESUS LAKE INTAKE,LIVINGSTON,2571220,3000,C,ONT-117-40-P67,Conesus Lake,0402CON0067
41,GENESEO VILLAGE,NY2501017,IN,CONESUS LAKE,LIVINGSTON,2571222,8000,C,ONT-117-40-P67,Conesus Lake,0402CON0067
42,ROCHESTER CITY,NY2704518,IN,CANADICE LAKE INTAKE,MONROE,2600309,214000,C,ONT-117-27-34-11-P43,Canadice Lake,0402CAN0043
43,ROCHESTER CITY,NY2704518,IN,HEMLOCK LAKE INTAKE,MONROE,2571238,214000,C,ONT-117-27-34-P44,Hemlock Lake,0402HEM0044
44,SUEZ WATER NEW YORK,NY4303673,IN,LAKE DEFOREST-IN,ROCKLAND,2571391,270000,C,NJ-1-12-P977A,DeForest Lake,1501DEF0977A
45,MONROE VILLAGE,NY3503535,IN,MOMBASHA LAKE,ORANGE,2571313,9516,C,NJ-12-17-P1008-3-P1010,Mombasha Lake,1501MOM1010
46,ALBANY CITY,NY0100189,IN,BASIC CREEK RESERVOIR,ALBANY,2570793,101082,C,H-193-29-P950A,Basic Creek Reservoir,1309BAS0950A
47,NEW YORK CITY SYSTEM,NY7003493,IN,RONDOUT RESERVOIR (50048 MG),NEW YORK ( BOROUGH),2572066,8271000,C,H-139-14-P815A,Rondout Reservoir,1306RON0815A
48,MIDDLETOWN CITY,NY3503534,IN,SHAWANGUNK RESERVOIR,ORANGE,2571312,30000,C,H-139-13-19-28-P491,Shawangunk Lake,1306SHA0491
49,ALBANY CITY,NY0100189,IN,ALCOVE RESERVOIR,ALBANY,2570792,101082,C,H-212-PN185,Alcove Reservoir,1301ALC0185
50,LAKE STAHAHE WS,NY3517675,IN,LAKE STAHAHE,ORANGE,2571340,1000,NC,NJ-12-18-P1011,Lake Stahahe,1501STA1011
51,TUXEDO PARK VILLAGE,NY3503557,IN,TUXEDO LAKE,ORANGE,2571318,1100,C,NJ-12-15-P1007,Tuxedo Lake,1501TUX1007
52,WESTCHESTER COUNTY WD #2,NY5903489,IN,"AMAWALK RESERVOIR, NYC CROTON SYSTEM",WESTCHESTER,2572025,0,C,H-31-P44-14-P50,Amawalk Reservoir,1302AMA0050
53,SLEEPY HOLLOW LAKE WATER CO.,NY1915264,IN,SLEEPY HOLLOW LAKE,GREENE,2571066,2000,C,H-202-P6666,Sleepy Hollow Lake,1301SLE6666
54,CARMEL WD 8,NY3903644,IN,LAKE MAHOPAC,PUTNAM,2571369,1600,C,H-31-P44-14-P53,Lake Mahopac,1302MAH0053
55,KINGSTON (CITY) WATER DISTRICT,NY5503374,IN,COOPER LAKE RESERVOIR/MINK HOLLOW,ULSTER,2576463,24000,C,H-171-17-21-P839,Cooper Lake,1307COO0839
56,WATERVLIET CITY,NY0110127,IN,WATERVLIET RESERVOIR,ALBANY,2570804,9889,C,H-221-4-PN270,Watervliet Reservoir,1311WAT0270
57,CANAJOHARIE (V) WATER WORKS,NY2800137,IN,LOST LAKE - E,MONTGOMERY,2571252,2300,C,H-240-P5293,Unnamed Water,1201UWB5293
58,ATHENS VILLAGE,NY1900024,IN,HOLLISTER LAKE RESERVOIR,GREENE,2571045,1700,C,H-193-1-P913,Hollister Lake,1309HOL0913
59,ASHOKAN HEADWORKS,NY5530001,IN,ASHOKAN RESEVOIR,ULSTER,2612200,97,NTNC,H-171-P848,Ashokan Reservoir,1307ASH0848
60,NEW YORK CITY SYSTEM,NY7003493,IN,ASHOKAN RESERVOIR (127858 MG),NEW YORK ( BOROUGH),2572069,8271000,C,H-171-P848,Ashokan Reservoir,1307ASH0848
61,LATHAM WATER DISTRICT,NY0100198,IN,STONY CREEK RESERVOIR,ALBANY,2570798,78500,C,H-240-14-P503A,Stony Reservoir,1201STO0503A
62,MVWA - MOHAWK VALLEY WATER AUTHORITY,NY3202411,IN,SOURCE - HINCKLEY INTAKE TOWER STRUCTURE,ONEIDA,2582331,126250,C,H-240-180-P799,Hinckley Reservoir,1203HIN0799
63,FORT PLAIN (V) WATER WORKS,NY2800139,IN,NORTH CREEK RESERVOIR,MONTGOMERY,2571256,2250,C,H-240-127-13-P681A,Fort Plain Reservoir,1201FOR0681A
64,LITTLE FALLS CITY,NY2102308,IN,KLONDIKE IMPOUNDING RESERVOIR,HERKIMER,2571108,4946,C,H-240-144-9-15-P708,Klondike Reservoir,1201KLO0708
65,SUNY ESF RANGER SCHOOL,NY4411830,IN,SURFACE IMPOUNDMENT,ST LAWRENCE,2623888,100,NTNC,SL-25-P309,Cranberry Lake,0905CRA0309
66,BLUE MT LAKE WD,NY2000135,IN,BLUE MT LAKE INTAKE,HAMILTON,2571072,400,C,SL-1-P293-4-P307,Blue Mountain Lake,0903BLU0307
67,MOUNT MORRIS VILLAGE,NY2501023,IN,SILVER LAKE INTAKE,LIVINGSTON,2571224,3500,C,ONT-117-70-P115,Silver Lake,0403SIL0115
68,PERRY VILLAGE,NY6000613,IN,SILVER LAKE INTAKE #1,WYOMING,2572029,3673,C,ONT-117-70-P115,Silver Lake,0403SIL0115
69,MORIAH WD,NY1500287,IN,BARTLETT POND INTAKE (PRIMARY),ESSEX,2570950,3100,C,C-86-3-P338,Bartlett Pond,1005BAR0338
70,GLOVERSVILLE (C) WATER WORKS,NY1700018,IN,CONTROL POND,FULTON,2594144,17991,C,H-369-P127-33-1-P150A,Gloversville Reservoir,1104GLO0150A
71,GLOVERSVILLE (C) WATER WORKS,NY1700018,IN,LAKE EDWARD - E,FULTON,2571019,17991,C,H-240-127-25-P686-4-P689,Vandenburg Pond,1201VAN0689
72,AMSTERDAM (C),NY2800136,IN,STEELE RESERVOIR,MONTGOMERY,2613137,20700,C,H-369-P127-21-3-P135,Steele Reservoir,1104STE0135
73,AMSTERDAM (C),NY2800136,IN,IRELAND VLY,MONTGOMERY,2571243,20700,C,H-369-P127-21-P136A,Ireland Vly,1104IRE0136A
74,ST WILLIAMS ON LONG POINT INC,NY2030028,IN,RAQUETTE LAKE,HAMILTON,2571092,24,NP,SL-1-P293,Raquette Lake,0903RAQ0293
75,CAMP HUNTINGTON - CORTLAND,NY2011007,IN,RAQUETTE LAKE INTAKE,HAMILTON,2571079,80,NC,SL-1-P293,Raquette Lake,0903RAQ0293
76,AUBURN,NY0501710,IN,OWASCO LAKE INTAKE - 30 FEET DEEP,CAYUGA,2570822,27179,C,ONT-66-12-43-P212,Owasco Lake,0706OWA0212
77,OWASCO WATER DISTRICT,NY0501721,IN,OWASCO LAKE INTAKE - 45 FEET DEEP,CAYUGA,2570825,3000,C,ONT-66-12-43-P212,Owasco Lake,0706OWA0212
78,WELLS COLLEGE,NY0512920,IN,"CAYUGA LAKE - 8"" INTAKE, 18-28 FT. DEEP",CAYUGA,2570832,400,C,ONT-66-12-P296,Cayuga Lake,0705CAY0296
79,SENECA FALLS,NY4901198,IN,CAYUGA LAKE INTAKE,SENECA,2571468,9400,C,ONT-66-12-P296,Cayuga Lake,0705CAY0296
80,"MACKENZIE-CHILDS, LTD",NY0530002,IN,"CAYUGA LAKE - 88 FT. LONG, ~ 20 FT. DEEP",CAYUGA,2570834,290,NTNC,ONT-66-12-P296,Cayuga Lake,0705CAY0296
81,SCLIWC,NY5404423,IN,CAYUGA LAKE INTAKE,TOMPKINS,2571554,0,C,ONT-66-12-P296,Cayuga Lake,0705CAY0296
82,CAMP CASPAR GREGORY CORP,NY0508759,IN,"CAYUGA LAKE - 45 FT. LONG, ~10 FEET DEEP",CAYUGA,2570830,75,NC,ONT-66-12-P296,Cayuga Lake,0705CAY0296
83,LIBERTY VILLAGE,NY5203329,IN,LILY POND INTAKE,SULLIVAN,2575487,3900,C,D-70-20-25-9-9-P311,Lily Pond,1403LIL0311
84,LOWVILLE VILLAGE,NY2402365,IN,LOWVILLE WATERSHED (RESERVOIR),LEWIS,2571216,4000,C,ONT-19-45-10-P594,Lowville Reservoir,0801LOW0594
85,HORNELL CITY,NY5001215,IN,RESERVOIR #1,STEUBEN,2571488,8590,C,PA-3-57-5-49-P34,Hornell Rs No 1,0503HOR0034
86,BRISTOL HARBOUR WATER CORP,NY3400784,IN,CANANDAIGUA LAKE,ONTARIO,2571289,835,C,ONT-66-12-52-P286,Canandaigua Lake,0704CAN0286
87,CANANDAIGUA CITY,NY3401150,IN,CANANDAIGUA LAKE,ONTARIO,2571290,11264,C,ONT-66-12-52-P286,Canandaigua Lake,0704CAN0286
88,RUSHVILLE VILLAGE,NY3401164,IN,CANANDAIGUA LAKE,ONTARIO,2571292,2341,C,ONT-66-12-52-P286,Canandaigua Lake,0704CAN0286
89,GORHAM TOWN WD,NY3401170,IN,CANANDAIGUA LAKE,ONTARIO,2571293,3420,C,ONT-66-12-52-P286,Canandaigua Lake,0704CAN0286
90,NEWARK VILLAGE,NY5801232,IN,CANANDAIGUA LAKE,WAYNE,2572007,9142,C,ONT-66-12-52-P286,Canandaigua Lake,0704CAN0286
91,PALMYRA VILLAGE,NY5801235,IN,CANANDAIGUA LAKE INTAKE,WAYNE,2572009,3580,C,ONT-66-12-52-P286,Canandaigua Lake,0704CAN0286
92,SMITH BOYS JANSEN MARINA,NY3430026,IN,CANANDAIGUA LAKE,ONTARIO,2604259,25,NC,ONT-66-12-52-P286,Canandaigua Lake,0704CAN0286
93,COOPERSTOWN VILLAGE,NY3800145,IN,OTSEGO LAKE,OTSEGO,2571350,2400,C,SR-P404,Otsego Lake,0601OTS0404
94,"LAKE N PINES MOTEL, INC.",NY3807993,IN,LAKE INTAKE,OTSEGO,2585586,58,NC,SR-P404,Otsego Lake,0601OTS0404
95,BLUE MINGO GRILL,NY3821952,IN,INFILTRATION GALLERY,OTSEGO,2574018,40,NC,SR-P404,Otsego Lake,0601OTS0404
96,OTSEGO LAKE BAYSIDE MOTOR INN,NY3807994,IN,INTAKE,OTSEGO,2581643,84,NC,SR-P404,Otsego Lake,0601OTS0404
97,THREE MILE POINT,NY3813664,IN,OTSEGO LAKE,OTSEGO,2571364,150,NC,SR-P404,Otsego Lake,0601OTS0404
98,SPRINGFIELD PUBLIC LANDING,NY3830149,IN,SURFACE WATER INTAKE,OTSEGO,2634804,15,NP,SR-P404,Otsego Lake,0601OTS0404
99,HAMMONDSPORT VILLAGE,NY5001223,IN,INTAKE IN KEUKA LAKE,STEUBEN,2571489,731,C,ONT-66-12-P369-115-P388,Keuka Lake,0705KEU0388
100,SWITZERLAND INN,NY5006021,IN,KEUKA LAKE INTAKE,STEUBEN,2571493,26,NC,ONT-66-12-P369-115-P388,Keuka Lake,0705KEU0388
101,PENN YAN VILLAGE,NY6101263,IN,KEUKA LAKE,YATES,2572032,5248,C,ONT-66-12-P369-115-P388,Keuka Lake,0705KEU0388
102,BLUFFERS (THE),NY5000663,IN,INTAKE,STEUBEN,2571483,25,NC,ONT-66-12-P369-115-P388,Keuka Lake,0705KEU0388
103,OLNEY PLACE,NY6120748,IN,KEUKA LAKE,YATES,2572051,50,NC,ONT-66-12-P369-115-P388,Keuka Lake,0705KEU0388
104,CROOKED LAKE COURT,NY5010194,IN,INTAKE - LOWER MHP,STEUBEN,2571503,150,NC,ONT-66-12-P369-115-P388,Keuka Lake,0705KEU0388
105,SHORE ACRES ASSOCIATION,NY5030089,IN,INTAKE - KEUKA LAKE,STEUBEN,2621795,51,NC,ONT-66-12-P369-115-P388,Keuka Lake,0705KEU0388
106,GENEVA CITY,NY3401156,IN,SENECA LAKE,ONTARIO,2571291,13334,C,ONT-66-12-P369,Seneca Lake,0705SEN0369
107,WATKINS GLEN VILLAGE,NY4801188,IN,SENECA LAKE INTAKE,SCHUYLER,2571464,2149,C,ONT-66-12-P369,Seneca Lake,0705SEN0369
108,OVID VILLAGE,NY4901195,IN,SENECA LAKE INTAKE,SENECA,2571467,990,C,ONT-66-12-P369,Seneca Lake,0705SEN0369
109,WATERLOO VILLAGE,NY4901199,IN,SENECA LAKE INTAKE,SENECA,2571469,7000,C,ONT-66-12-P369,Seneca Lake,0705SEN0369
110,WILLARD DRUG TREATMENT CENTER,NY4910589,IN,SENECA LAKE,SENECA,2571470,1200,C,ONT-66-12-P369,Seneca Lake,0705SEN0369
111,CLIFFSIDE ON SENECA,NY6112885,IN,SENECA LAKE,YATES,2572035,24,NC,ONT-66-12-P369,Seneca Lake,0705SEN0369
112,CAMP SENECA LAKE,NY6112874,IN,SENECA LAKE,YATES,2572034,280,NC,ONT-66-12-P369,Seneca Lake,0705SEN0369
113,SYRACUSE CITY,NY3304334,IN,"SKANEATELES LAKE INTAKE # 1 (54"""")",ONONDAGA,2571281,192000,C,ONT-66-12-29-P193,Skaneateles Lake,0707SKA0193
114,SYRACUSE CITY,NY3304334,IN,"SKANEATELES LAKE INTAKE # 2 (60"""")",ONONDAGA,2600208,192000,C,ONT-66-12-29-P193,Skaneateles Lake,0707SKA0193
115,PERU WD,NY0900216,IN,FURNACE BROOK RESERVOIR SURFACE,CLINTON,2570869,2700,C,C-23-10-P212,Unnamed Water,1004UWB0212
116,BOLTON WATER DISTRICT,NY5600101,IN,EDGECOMB POND (143 MG CAPACITY),WARREN,2571900,1800,C,C-101-P367-56-P381,Edgecomb Pond,1006EDG0381
117,OCWA,NY3304336,IN,OTISCO LAKE INTAKE,ONONDAGA,2571283,300000,C,ONT-66-12-12-P154-6-P175,Otisco Lake,0702OTI0175
118,NORWICH CITY,NY0801745,IN,UPPER/LOWER RESERVOIRS/RANSFORD CREEK,CHENANGO,2600249,8000,C,SR-44-56-P108,Unnamed Water,0602UWB0108
119,NEW YORK CITY SYSTEM,NY7003493,IN,KENSICO RESERVOIR (30573 MG) CATLEFF,NEW YORK ( BOROUGH),2572065,8271000,C,ER-3-P1063,Kensico Reservoir,1702KEN1063
120,WESTCHESTER COUNTY WD #1,NY5903488,IN,KENSICO RESERVOIR,WESTCHESTER,2599700,0,C,ER-3-P1063,Kensico Reservoir,1702KEN1063
121,NEW YORK CITY SYSTEM,NY7003493,IN,KENSICO RESERVOIR DEL18,NEW YORK ( BOROUGH),2624827,8271000,C,ER-3-P1063,Kensico Reservoir,1702KEN1063
122,FREDONIA VILLAGE,NY0600364,IN,FREDONIA RESERVOIR,CHAUTAUQUA,2570842,10400,C,E-37-7-P160,Fredonia Reservoir,0105FRE0160
123,ELMIRA WATER BOARD,NY0701008,IN,HOFFMAN RESERVOIR INTAKE,CHEMUNG,2570860,54000,C,PA-3-29-P19,Elmira Reservoir,0501ELM0019
124,WESTFIELD VILLAGE AND TOWN,NY0615782,IN,MINTON RESERVOIR,CHAUTAUQUA,2570854,3890,C,E-68-2-P165A,Minton Reservoir,0105MIN0165A
125,BALD MT COLONY,NY2101609,IN,THIRD LAKE,HERKIMER,2571093,80,NC,ONT-19-81-18-P782,Unnamed Water,0801UWB0782
126,WESTCHESTER JOINT WATER WORKS,NY5903435,IN,"NYC KENSICO RES., RYE LAKE INTAKE",WESTCHESTER,2572016,59629,C,ER-3-P1063,Kensico Reservoir,1702KEN1063
127,WOODRIDGE VILLAGE,NY5203348,IN,EAST POND INTAKE,SULLIVAN,2571518,902,C,D-1-48-P55,East Pond,1402EAS0055
128,RAP SHAW CLUB,NY2130052,IN,STILLWATER RESERVOIR,HERKIMER,2625896,25,NC,ONT-19-40-P493,Stillwater Reservoir,0801STI0493
129,RIPLEY WATER DISTRICT,NY0600372,IN,BELSON CREEK,CHAUTAUQUA,2570843,1300,C,E-P166M,Unnamed Water,0105UWB0166M
130,MECHANICVILLE CITY,NY4500166,IN,MECHANICVILLE RESERVOIR (65 MG CAPACITY),SARATOGA,2571436,5200,C,H-260-2-P1083,Mechanicville Reservoir,1101MEC1083
131,PORT JERVIS CITY,NY3503554,IN,"RESERVOIRS #1, #2, #3, BOEHMLER POND",ORANGE,2571317,9000,C,D-1-2-A-P3,Reservoir No.1,1402RE10003
132,SARATOGA SPRINGS CITY,NY4500168,IN,LOUGHBERRY LAKE,SARATOGA,2571438,26525,C,H-299-P27-13-1-P30-2-P35,Loughberry Lake,1101LOU0035
133,STAMFORD VILLAGE,NY1200272,IN,TAYLOR RESERVOIR,DELAWARE,2570911,1280,C,D-71-P453-2-P461-1-P462,Stamford Reservoir,1404STA0462
134,FORT EDWARD VILLAGE,NY5700119,IN,NEW RESERVOIR (BACKUP SOURCE),WASHINGTON,2571993,3300,C,H-320-3-P99C,New Reservoir,1101NEW0099C
135,SACKETS HARBOR VILLAGE,NY2202343,IN,LAKE ONTARIO,JEFFERSON,2571136,2200,C,ONT,Lake Ontario,0300ONT0000
136,ONTARIO SHORES T/P & MARINA,NY2208212,IN,LAKE ONTARIO-SURFACE INTAKE,JEFFERSON,2571148,39,NC,ONT,Lake Ontario,0300ONT0000
137,WILLOWS ON THE LAKE,NY2213144,IN,LAKE ONTARIO-SHORE WELL,JEFFERSON,2571189,90,NC,ONT,Lake Ontario,0300ONT0000
138,SHANGRI-LA CAMPGROUND,NY2213150,IN,LAKE ONTARIO-SURFACE INTAKE,JEFFERSON,2571194,150,NC,ONT,Lake Ontario,0300ONT0000
139,"HENDERSON TOWN WD 1,2",NY2230027,IN,SURFACE INTAKE-LAKE ONTARIO,JEFFERSON,2599043,700,C,ONT,Lake Ontario,0300ONT0000
140,GLENS FALLS CITY,NY5600104,IN,KEENAN RESERVOIR,WARREN,2571905,14000,C,H-343-P114,Keenan Reservoir,1101KEE0114
141,PLATTSBURGH CITY,NY0900217,IN,MEAD RESERVOIR,CLINTON,2570871,24173,C,C-15-5-P5064,Mead Reservoir,1003MEA5064
142,GLENS FALLS CITY,NY5600104,IN,HALFWAY BROOK RESERVOIR,WARREN,2571903,14000,C,C-134-4-19-P5349,Unnamed Water,1005UWB5349
143,PLATTSBURGH CITY,NY0900217,IN,SARANAC RIVER,CLINTON,2570872,24173,C,C-15-5-3-P27,Patterson Reservoir,1003PAT0027
144,PLATTSBURGH CITY,NY0900217,IN,PATTERSON RESERVOIR,CLINTON,2570873,24173,C,C-15-5-3-P27,Patterson Reservoir,1003PAT0027
145,CARTHAGE VILLAGE,NY2202334,IN,BELFORT RESERVOIR,JEFFERSON,2593253,3600,C,SL-25-7-P1-3-P50,Carthage Reservoir,0906CAR0050
146,DELANSON VILLAGE WATER WORKS,NY4600064,IN,DELANSON RESERVOIR,SCHENECTADY,2571448,428,C,H-221-4-35-PN292,Delanson Reservoir,1311DEL0292
147,HIGHLAND FALLS VILLAGE,NY3503532,IN,HIGHLAND BROOK,ORANGE,2571308,5400,C,H-71-P200,Bog Meadow Pond,1301BOG0200
148,COXSACKIE VILLAGE,NY1900027,IN,CLIMAX RESERVOIR,GREENE,2571050,4010,C,H-208-4-PN152B,Coxsackie Reservoir,1301COX0152B
149,SUNNY HILL RESORT,NY1904281,IN,SURFACE SOURCE,GREENE,2576526,275,NC,H-P6509,Unnamed Water,1309UWB6509
150,CATSKILL VILLAGE,NY1900026,IN,POTIC RESERVOIR,GREENE,2571048,8000,C,H-193-9-2-P925A,Potic Reservoir,1309POT0925A
151,ADIRONDACK CORRECTIONAL FACILITY,NY1510497,IN,RAY BROOK IMPOUNDMENT - EMERGENCY USE,ESSEX,2570969,2400,C,C-15-60-P91,Ray Brook Pond,1003RAY0091
152,U.S.M.A. - LUSK SYSTEM,NY3511887,IN,"LUSK RES, FROM QUEENSBORO,STILWELL,MINE",ORANGE,2575868,8000,C,H-P204,Lusk Reservoir,1301LUS0204
153,OSSINING WATER DEPARTMENT,NY5903451,IN,INDIAN BROOK RESERVOIR,WESTCHESTER,2572018,30000,C,H-31-2-P42B,Indian Brook Reservoir,1302IND0042B
154,BLUE LAKE,NY3512132,IN,BLUE LAKE,ORANGE,2571332,1850,C,NJ-13-2-P1021C,Sterling Forest Lake,1501STE1021C
155,STERLING LAKE,NY3512133,IN,STERLING LAKE,ORANGE,2571333,225,C,NJ-13-P1025,Sterling Lake,1501STE1025
156,COLD SPRING VILLAGE,NY3903652,IN,FOUNDRY BROOK RESERVOIR,PUTNAM,2571372,2666,C,H-83-P215B,Unnamed Water,1301UWB0215B
157,GREAT MEADOW/WASHINGTON CORR. FACILITIES,NY5704191,IN,DOLPH POND - 210 MG/160 MG USEABLE,WASHINGTON,2571999,3802,C,C-134-4-14-P424,Dolph Pond,1005DOL0424
158,GLENS FALLS CITY,NY5600104,IN,BUTLER RESERVOIR,WARREN,2588863,14000,C,C-134-4-19-19-P452,Butler Pond,1005BUT0452
159,MECHANICVILLE CITY,NY4500166,IN,TERMINAL RESERVOIR (2.5 MG CAPACITY),SARATOGA,2571435,5200,C,H-260-2-P1081,Unnamed Water,1101UWB1081
160,GLENS FALLS CITY,NY5600104,IN,WILKIE RESERVOIR,WARREN,2571904,14000,C,C-134-4-19-P455A,Wilkie Reservoir,1005WIL0455A
161,WARSAW VILLAGE,NY6000618,IN,RAW WATER RESERVOIR,WYOMING,2622940,3850,C,ONT-117-P30,Unnamed Water,0402UWB0030
162,OSWEGO CITY,NY3704361,IN,"L. ONTARIO, D=7',L=6500'",OSWEGO,2571349,29400,C,ONT,Lake Ontario,0300ONT0000
163,ONTARIO TOWN BENEFIT AREA #1,NY5801233,IN,LAKE ONTARIO - 1 MILE OUT 50' DEEP,WAYNE,2572008,10136,C,ONT,Lake Ontario,0300ONT0000
