OBJECTID,Water_System_Name,Water_SystemID,Facility_Type,Source_Name,Principle_County_Served,Facility_ID,Population_Served,Water_System_Type,FIN,WATER,LakeID
238,ONEIDA CITY,NY2602381,IN,GLENMORE RESERVOIR,MADISON,2592855,11393,C,ONT-66-11-P26-24-14-4-P73,Oneida City Reservoir,0703ONE0073
239,AMSTERDAM (C),NY2800136,IN,GLEN WILD INTAKE POND,MONTGOMERY,2571240,20700,C,H-369-P127-21-P134D,Unnamed Water,1104UWB0134D
240,GLOVERSVILLE (C) WATER WORKS,NY1700018,IN,RICE RESERVOIR,FULTON,2571017,17991,C,H-369-P127-33-3-1-P152D,Rice Reservoir,1104RIC0152D
241,TUPPER LAKE V,NY1600012,IN,LITTLE SIMON POND INTAKE,FRANKLIN,2570996,5500,C,SL-1-P180-4-P182,Little Simon Pond,0903LSI0182
242,GLOVERSVILLE (C) WATER WORKS,NY1700018,IN,CAMERON RESERVOIR,FULTON,2571020,17991,C,H-369-P127-33-1-P152,Cameron Reservoir,1104CAM0152
243,HORNELL CITY,NY5001215,IN,RESERVOIR #2,STEUBEN,2571487,8590,C,PA-3-57-5-49-7-P36,Hornell Rs No 2,0503HOR0036
244,FOREST LAKE CAMP,NY5612692,IN,INTAKE FROM FOREST LAKE,WARREN,2597313,263,NP,H-391-14-1-P340,Forest Lake,1104FOR0340
245,TICONDEROGA WD,NY1500293,IN,GOOSENECK POND INTAKE,ESSEX,2570954,3700,C,H-391-39-1-P438-4-P442,Gooseneck Pond,1104GOO0442
246,NORWICH CITY,NY0801745,IN,CHENANGO LAKE,CHENANGO,2574587,8000,C,SR-146-19-6-1-P213,Chenango Lake,0601CHE0213
247,ONEONTA CITY,NY3800154,IN,LOWER RESERVOIR,OTSEGO,2571355,15779,C,SR-179-P295,Lower Reservoir,0601LOW0295
248,RICHFIELD SPRINGS VILLAGE,NY3800156,IN,ALLEN LAKE,OTSEGO,2571356,1200,C,SR-P404-9-P405,Allen Lake,0601ALL0405
249,MASSENA VILLAGE,NY4404390,IN,SURFACE-ST LAWRENCE RIVER,ST LAWRENCE,2571411,16729,C,SL-P5150,Lake St Lawrence,0901STL5150
250,CANAJOHARIE (V) WATER WORKS,NY2800137,IN,SPRING POND,MONTGOMERY,2589357,2300,C,<Null>,SPRING POND,1201SPRXXX1
