"","LAKE_HISTORY_ID","LOCATION_PWL_ID.x","LOCATION_PWL_ID.y","PWS.ID.x","LAKE_WATERBODY_NAME","LAKE_WATERBODY_TYPE","LAKE_BEACH_PRESENCE","LAKE_FIN","LAKE_ALTERNATE_NAME","LAKE_POND_NUMBER","PWS","LOCATION_HISTORY_ID","MUNICIPALITY","DEC_REGION","LOCATION_COUNTY","LOCATION_PWL_ID.x.x","LOCATION_NAME","LOCATION_TYPE","LOCATION_X_COORDINATE","LOCATION_Y_COORDINATE","LOCATION_HORIZONTAL_METHOD","LOCATION_HORIZONTAL_DATUM","LOCATION_WATERBODY_CLASSIFICATION","MAJOR_BASIN_ID","LOCATION_PWL_ID.y.y","PWS.ID.y"
"1","1003PAT0027","1003-0114",NA,NA,"PATTERSON RESERVOIR","LAKE","NO","C-15-5-3-P27",NA,"27","YES","1003PAT0027_C","Plattsburgh",5,"Clinton","1003-0114","PATTERSON RESERVOIR CENTROID","CENTROID",-73.597,44.713699,"INTERPOLATION-OTHER","NAD83","A",10,NA,NA
"2","1104CAM0152","1104-0125","1104-0125","NY1700018","CAMERON RESERVOIR","LAKE","NO","H-369-P127-33-1-P152",NA,"152","YES","1104CAM0152_C","Mayfield",5,"Fulton","1104-0125","CAMERON RESERVOIR CENTROID","CENTROID",-74.269699,43.160702,"INTERPOLATION-OTHER","NAD83","A",11,"1104-0125","NY1700018"
"3","1104POR0152E","1104-0127",NA,NA,"PORT RESERVOIR","LAKE","NO","H-369-P127-33-3-1-P152E",NA,"152E","YES","1104POR0152E_C","Johnstown",5,"Fulton","1104-0127","PORT RESERVOIR CENTROID","CENTROID",-74.355797,43.087601,"INTERPOLATION-OTHER","NAD83","A",11,NA,NA
