PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Owner Type
NY1921944,WINDHAM RIDGE,Community water system,Ground water,Greene,WINDHAM (T),456,4,Private
NY1900032,WINDHAM WATER DISTRICT,Community water system,Ground water,Greene,WINDHAM (T),230,12,Local government
NY5930091,WINDSOR FARMS WATER DISTRICT,Community water system,Surface water purchased,Westchester,SOMERS (T),150,2,Local government
NY0301684,"WINDSOR, VILLAGE OF",Community water system,Ground water,Broome,WINDSOR (V),1051,5,Local government
NY0930133,WINDY ACRES APARTMENTS,Community water system,Ground water,Clinton,ELLENBURG (T),22,5,Local government
NY1500305,WINEBROOK HILLS WD,Community water system,Ground water,Essex,NEWCOMB (T),250,6,Local government
NY1301337,WINGDALE VILLAGE PARK,Community water system,Ground water,Dutchess,DOVER (T),150,3,Private
NY5801245,WOLCOTT VILLAGE,Community water system,Surface water,Wayne,WOLCOTT (V),2200,15,Local government
NY5830007,WOLCOTT-BUTLER CSA,Community water system,Surface water purchased,Wayne,WOLCOTT (T),168,20,Public/Private
NY1302127,WOOD CREST PINES,Community water system,Ground water,Dutchess,PLEASANT VALLEY (T),200,7,Private
NY5203012,WOODBOURNE CORRECTIONAL FACILITY,Community water system,Ground water,Sullivan,FALLSBURG (T),900,14,State government
NY3503573,WOODBURY CONS. W.D.,Community water system,Ground water,Orange,WOODBURY (T),10845,17,Local government
NY3503570,WOODBURY W.D. #6 (AMDUR PARK),Community water system,Ground water,Orange,WOODBURY (T),183,4,Local government
NY4521831,WOODCREST ACRES MOBILE HOME,Community water system,Ground water,Saratoga,CORINTH (T),188,10,Private
NY5521945,WOODCREST APARTMENTS,Community water system,Ground water,Ulster,PLATTEKILL (T),40,3,Private
NY5515691,WOODCREST COMMUNITY,Community water system,Ground water,Ulster,ESOPUS (T),340,6,Private
NY5501363,WOODCREST MOBILE PARK,Community water system,Ground water,Ulster,PLATTEKILL (T),25,3,Private
NY3700940,WOODED ACRES MOBILE HOME PARK,Community water system,Ground water,Oswego,GRANBY (T),14,10,Private
NY0310320,WOODED ESTATES MOBILE HOME COURT,Community water system,Ground water,Broome,COLESVILLE (T),192,40,Private
NY3901311,WOODED HILLS MOBILE HOME PARK,Community water system,Ground water,Putnam,PATTERSON (T),80,4,Private
NY3905688,WOODHILL ESTATES,Community water system,Ground water,Putnam,CARMEL (T),128,5,Private
NY1303230,WOODHILL GREEN,Community water system,Ground water,Dutchess,WAPPINGER (T),483,12,Private
NY5521386,WOODLAND COUNTRY APARTMENTS,Community water system,Ground water,Ulster,MARBLETOWN (T),85,11,Private
NY3503547,WOODLAND DRIVE HOMEOWNERS ASSO,Community water system,Ground water,Orange,NEWBURGH (T),43,4,Private
NY3700921,WOODLAND MANOR,Community water system,Ground water,Oswego,WEST MONROE (T),250,9,Private
NY3700941,WOODLAND MOBILE HOME HAVEN,Community water system,Ground water,Oswego,HANNIBAL (T),120,6,Private
NY3810454,WOODLAND WATER DISTRICT,Community water system,Ground water,Otsego,ONEONTA (T),276,5,Local government
NY1701506,WOODRIDGE MOBILE HOME PARK,Community water system,Ground water,Fulton,PERTH (T),78,6,Private
NY5203348,WOODRIDGE VILLAGE,Community water system,Surface water,Sullivan,WOODRIDGE (V),902,11,Local government
NY3920935,WOODS AT KINGS POND CONDO W.S.,Community water system,Ground water,Putnam,CARMEL (T),96,6,Private
NY0930036,WOODS MILLS WATER DISTRICT,Community water system,Ground water purchased,Clinton,SCHUYLER FALLS (T),450,2,Local government
NY4130008,WOODSIDE MOBILE HOME PARK,Community water system,Ground water,Rensselaer,STEPHENTOWN (T),40,6,Private
NY5503394,WOODSTOCK WATER DISTRICT,Community water system,Ground water,Ulster,WOODSTOCK (T),2400,6,Local government
NY3800146,WORCESTER WD #1 - EAST WORCESTER,Community water system,Ground water,Otsego,WORCESTER (T),243,6,Local government
NY3800160,WORCESTER WD #2 - WORCESTER,Community water system,Ground water,Otsego,WORCESTER (T),656,11,Local government
NY5203352,WURTSBORO VILLAGE,Community water system,Ground water,Sullivan,WURTSBORO (V),1265,9,Local government
NY6030009,WYOMING CORRECTIONAL,Community water system,Surface water purchased,Wyoming,ATTICA (T),1600,4,Local government
NY6000620,WYOMING VILLAGE,Community water system,Ground water,Wyoming,WYOMING (V),490,4,Public/Private
NY0930139,YANDOS APARTMENTS,Community water system,Ground water,Clinton,BEEKMANTOWN (T),48,6,Private
NY3600604,YATES W.D. #2,Community water system,Surface water purchased,Orleans,YATES (T),175,2,Local government
NY3630017,YATES W.D. #4,Community water system,Surface water purchased,Orleans,YATES (T),1525,3,Local government
NY5404425,YELLOW BARN WATER CO,Community water system,Ground water,Tompkins,DRYDEN (T),250,7,Private
NY5903150,YESHIVA FARM SETTLEMENT,Community water system,Groundwater under influence of surface water,Westchester,NEW CASTLE (T),300,8,Private
NY5920450,YESHIVA KEHILETH YAKOV,Community water system,Ground water,Westchester,YORKTOWN (T),150,8,Private
NY5530331,YESHIVA OF OCEAN,Community water system,Ground water,Ulster,WAWARSING (T),50,3,Private
NY5903465,YONKERS CITY,Community water system,Surface water purchased,Westchester,YONKERS (C),196086,17,Local government
NY2501027,YORK WATER DISTRICT,Community water system,Surface water purchased,Livingston,YORK (T),2700,8,Local government
NY0412216,YORKSHIRE TOWN WATER DISTRICT #1,Community water system,Ground water,Cattaraugus,YORKSHIRE (T),900,4,Local government
NY0430044,YORKSHIRE TOWN WD #2 (GROVE ST.),Community water system,Purchased ground water under influence of surface water source,Cattaraugus,YORKSHIRE (T),70,2,Private
NY5903469,YORKTOWN CONSOLD. WATER DIST.#1,Community water system,Surface water purchased,Westchester,YORKTOWN (T),36000,11,Local government
NY3903651,YORKVIEW ESTATES W S INC,Community water system,Ground water,Putnam,CARMEL (T),200,7,Private
NY4501818,YOUNGS MANOR,Community water system,Ground water,Saratoga,MILTON (T),25,7,Private
NY3116262,YOUNGSTOWN (V),Community water system,Surface water purchased,Niagara,YOUNGSTOWN (V),2021,3,Local government
NY5203349,YOUNGSVILLE WD,Community water system,Ground water,Sullivan,CALLICOON (T),500,8,Local government
NY5503748,ZOLOTA OSIN INC,Community water system,Ground water,Ulster,ROCHESTER (T),50,4,Private
NY5930117,1 - 3 NEW KING STREET,Non-Transient non-community system,Groundwater under influence of surface water,Westchester,NORTH CASTLE (T),25,3,Private
NY5930130,1 BYRAM BROOK PL.,Non-Transient non-community system,Ground water,Westchester,,50,3,Private
NY1330513,10 CORPORATE PARK,Non-Transient non-community system,Ground water,Dutchess,EAST FISHKILL (T),61,3,Private
NY5930066,10 NEW KING STREET ASSOCIATES,Non-Transient non-community system,Groundwater under influence of surface water,Westchester,NORTH CASTLE (T),170,3,Private
NY3922042,185 ROUTE 312 CORPORATION,Non-Transient non-community system,Ground water,Putnam,SOUTHEAST (T),25,3,Private
NY5130143,1983 MONTAUK HWY OFFICES COPARTS,Non-Transient non-community system,Ground water,Suffolk,BROOKHAVEN (T),190,4,Private
NY1322716,199 WEST ROAD LLC,Non-Transient non-community system,Ground water,Dutchess,PLEASANT VALLEY (T),61,11,Private
NY1330496,20 CORPORATE PARK,Non-Transient non-community system,Ground water,Dutchess,EAST FISHKILL (T),30,3,Private
NY1330500,2345 ROUTE 52 BUILDING,Non-Transient non-community system,Ground water,Dutchess,EAST FISHKILL (T),97,3,Private
NY1330245,25 CORPORATE PARK,Non-Transient non-community system,Ground water,Dutchess,EAST FISHKILL (T),70,3,Private
NY5930025,28 KAYSAL COURT OFFICE BLDG.,Non-Transient non-community system,Ground water,Westchester,NORTH CASTLE (T),50,3,Private
NY5930014,"294 ROUTE 100, LLC",Non-Transient non-community system,Ground water,Westchester,SOMERS (T),25,5,Private
NY1330731,33 & 35 CORPORATE PARK,Non-Transient non-community system,Ground water,Dutchess,EAST FISHKILL (T),55,4,Private
NY5922945,4 NEW KING STREET,Non-Transient non-community system,Ground water,Westchester,WHITE PLAINS (C),101,5,Private
NY4118252,43 MALL LLC,Non-Transient non-community system,Ground water,Rensselaer,SAND LAKE (T),235,17,Private
NY4530235,4300 ROUTE 50 DEVELOPMENT,Non-Transient non-community system,Ground water,Saratoga,WILTON (T),60,3,Private
NY4130234,A. DUIE PYLE INC.,Non-Transient non-community system,Ground water,Rensselaer,SCHODACK (T),25,4,Private
NY5530317,ABCD AT NEW PALTZ,Non-Transient non-community system,Ground water,Ulster,NEW PALTZ (T),60,3,Private
NY0719908,ABLE2,Non-Transient non-community system,Ground water,Chemung,HORSEHEADS (T),200,4,Private
NY3905005,ACE ENDICO COMPANY,Non-Transient non-community system,Ground water,Putnam,SOUTHEAST (T),200,3,Private
NY5722767,ADIRONDACK STUDIOS,Non-Transient non-community system,Ground water,Washington,ARGYLE (T),80,15,Private
NY5130158,AFCO PRECAST,Non-Transient non-community system,Ground water,Suffolk,BROOKHAVEN (T),40,9,Private
NY1630057,AGRI-MARK INC,Non-Transient non-community system,Ground water,Franklin,CHATEAUGAY (T),150,5,Private
NY4530245,AIM SERVICES,Non-Transient non-community system,Ground water,Saratoga,WILTON (T),50,3,Private
NY3290082,"ALDER CREEK BEVERAGES, LLC (NTNC)",Non-Transient non-community system,Ground water,Oneida,FORESTPORT (T),60,6,Private
NY0202559,ALFRED-ALMOND CENTRAL SCHOOL,Non-Transient non-community system,Ground water,Allegany,ALMOND (T),925,3,Public/Private
NY4117257,ALGONQUIN SCHOOL,Non-Transient non-community system,Ground water,Rensselaer,POESTENKILL (T),1000,5,Private
NY3922040,ALL COUNTY BUILDING,Non-Transient non-community system,Ground water,Putnam,CARMEL (T),25,4,Private
NY0430024,ALLEGANY-LIMESTONE SCHOOL,Non-Transient non-community system,Ground water,Cattaraugus,ALLEGANY (T),855,5,Local government
NY1330005,ALPINE SHOPPING CENTER,Non-Transient non-community system,Ground water,Dutchess,WAPPINGER (T),101,7,Private
NY3530317,AMAZON SWF1,Non-Transient non-community system,Unknown Primary Source,Orange,MONTGOMERY (T),1000,2,Private
NY1030234,AMERICAN BIO MEDICA CORPORATION,Non-Transient non-community system,Ground water,Columbia,STUYVESANT (T),81,3,Private
NY5510733,AMETEK ROTRON INC,Non-Transient non-community system,Ground water,Ulster,WOODSTOCK (T),300,6,Private
NY2821040,ANDERSON INSTRUMENT COMPANY,Non-Transient non-community system,Ground water,Montgomery,GLEN (T),70,8,Private
NY1120018,APPLEBY ELEMENTARY SCHOOL,Non-Transient non-community system,Ground water purchased,Cortland,MARATHON (V),300,4,Local government
NY3721813,APW ELEMENTARY SCHOOL,Non-Transient non-community system,Ground water,Oswego,PARISH (T),500,9,Local government
NY3702975,APW JR/SR HIGH SCHOOL,Non-Transient non-community system,Ground water,Oswego,PARISH (T),500,6,Local government
NY4721159,ARC   DAY TREATMENT CENTER,Non-Transient non-community system,Ground water,Schoharie,MIDDLEBURGH (T),150,7,State government
NY4717919,ARC -  TOEPATH,Non-Transient non-community system,Ground water,Schoharie,MIDDLEBURGH (T),135,5,State government
NY1330625,ARC OF DUTCHESS,Non-Transient non-community system,Ground water,Dutchess,PLEASANT VALLEY (T),58,4,Private
NY3500604,ARK OF LEARNING DAYCARE,Non-Transient non-community system,Ground water,Orange,CORNWALL (T),36,3,Local government
NY1319319,ARLINGTON CENTRAL ADMINISTRATION OFFICE,Non-Transient non-community system,Ground water,Dutchess,LAGRANGE (T),71,7,Local government
NY1319317,ARLINGTON HIGH SCHOOL,Non-Transient non-community system,Ground water,Dutchess,LAGRANGE (T),3050,16,Local government
NY0430006,ASHFORD OFFICE COMPLEX,Non-Transient non-community system,Ground water,Cattaraugus,ASHFORD (T),100,5,Private
NY5530001,ASHOKAN HEADWORKS,Non-Transient non-community system,Surface water,Ulster,OLIVE (T),97,7,Local government
NY1330029,ASTOR EARLY LEARNING,Non-Transient non-community system,Ground water,Dutchess,DOVER (T),115,4,Private
NY1320809,ASTOR PLAZA,Non-Transient non-community system,Ground water,Dutchess,RHINEBECK (T),52,5,Private
NY3817551,ASTROCOM ELECTRONICS,Non-Transient non-community system,Ground water,Otsego,MILFORD (T),121,7,Private
NY4430194,ATLANTIC TESTING LABORATORIES LTD,Non-Transient non-community system,Ground water,St. Lawrence,POTSDAM (T),34,4,Private
NY0910830,AUSABLE VALLEY MIDDLE/HIGH SCHOOL,Non-Transient non-community system,Ground water,Clinton,AUSABLE (T),875,6,Local government
NY3908023,AUSTIN ROAD ELEMENTARY SCHOOL,Non-Transient non-community system,Ground water,Putnam,CARMEL (T),300,3,Private
NY4117254,AVERILL PARK HIGH SCHOOL,Non-Transient non-community system,Ground water,Rensselaer,SAND LAKE (T),1200,5,Private
NY3830011,B.J.S WHOLESALE CLUB,Non-Transient non-community system,Ground water,Otsego,ONEONTA (T),250,6,Private
NY5917428,BACKDAC REALTY LLC,Non-Transient non-community system,Ground water,Westchester,BEDFORD (T),30,5,Private
NY5930094,BAILEY COURT,Non-Transient non-community system,Ground water,Westchester,,40,3,Private
NY2221603,BALD ROCK LEDGES,Non-Transient non-community system,Ground water,Jefferson,CLAYTON (T),54,13,Private
NY5917426,BARNWELL BUILDING,Non-Transient non-community system,Groundwater under influence of surface water,Westchester,POUND RIDGE (T),25,5,Private
NY0420358,BARTON & WELLER TRAIL - ASP,Non-Transient non-community system,Ground water,Cattaraugus,COLDSPRING (T),4025,8,State government
NY6012849,BEAVER HOLLOW CONF. CENTER,Non-Transient non-community system,Ground water,Wyoming,JAVA (T),45,6,Private
NY5905442,BEDFORD GOLF AND TENNIS CLUB,Non-Transient non-community system,Groundwater under influence of surface water,Westchester,BEDFORD (T),150,7,Private
NY5930102,BEDFORD PROFESSIONAL BUILDING,Non-Transient non-community system,Ground water,Westchester,,40,3,Private
NY0902619,BEEKMANTOWN CENTRAL SCHOOL,Non-Transient non-community system,Ground water,Clinton,BEEKMANTOWN (T),2500,8,Local government
NY5530352,BEGNAL MOTORS,Non-Transient non-community system,Ground water,Ulster,ULSTER (T),65,3,Private
NY5517377,BELLEAYRE SKI CENTER,Non-Transient non-community system,Ground water,Ulster,SHANDAKEN (T),260,13,State government
NY0616756,BEMUS POINT ELEMENTARY SCHOOL,Non-Transient non-community system,Ground water,Chautauqua,ELLERY (T),357,5,Private
NY3515877,BEREA ELEMENTARY SCHOOL,Non-Transient non-community system,Ground water,Orange,MONTGOMERY (T),580,3,Local government
NY0115885,BERNE KNOX HIGHSCHOOL,Non-Transient non-community system,Ground water,Albany,BERNE (T),650,4,Local government
NY5930030,BEST PLUMBING,Non-Transient non-community system,Ground water,Westchester,,60,6,Private
NY3702970,"BIOSPHERIX, LTD",Non-Transient non-community system,Ground water,Oswego,PARISH (V),40,5,Local government
NY3530310,BIRCH SCHOOL,Non-Transient non-community system,Ground water,Orange,NEW WINDSOR (T),30,3,Private
NY4717246,BLENHEIM-GILBOA POWER PROJECT,Non-Transient non-community system,Ground water,Schoharie,GILBOA (T),150,12,State government
NY4830031,BMS MANUFACTURING,Non-Transient non-community system,Ground water,Schuyler,READING (T),44,3,Private
NY3530026,BNAI YOEL NEW BOYS SCHOOL,Non-Transient non-community system,Ground water,Orange,WOODBURY (T),350,3,Private
NY3515461,BOCES,Non-Transient non-community system,Ground water,Orange,GOSHEN (T),3000,6,Public/Private
NY0820492,BOCES-CHENANGO CENTER,Non-Transient non-community system,Ground water,Chenango,NORTH NORWICH (T),200,7,State government
NY5030017,BOMBARDIER,Non-Transient non-community system,Ground water,Steuben,AVOCA (T),75,5,Private
NY4802547,BRADFORD CENTRAL SCHOOL,Non-Transient non-community system,Ground water,Schuyler,BRADFORD (T),321,4,Local government
NY0705243,BREESPORT BAPTIST CHURCH,Non-Transient non-community system,Ground water,Chemung,HORSEHEADS (T),450,5,Private
NY3830035,BREWERY OMMEGANG,Non-Transient non-community system,Ground water,Otsego,MIDDLEFIELD (T),25,5,Private
NY3930010,BREWSTER BUSINESS PARK,Non-Transient non-community system,Ground water,Putnam,SOUTHEAST (T),300,4,Private
NY3930054,BREWSTER PLASTICS,Non-Transient non-community system,Ground water,Putnam,PATTERSON (T),60,3,Private
NY3902961,BREWSTER SCHOOL COMPLEX,Non-Transient non-community system,Ground water,Putnam,SOUTHEAST (T),100,5,Private
NY3922417,BREWSTER SQUARE,Non-Transient non-community system,Ground water,Putnam,SOUTHEAST (T),50,3,Private
NY5230250,BRIGHT EYES CHILD CARE CENTER INC.,Non-Transient non-community system,Ground water,Sullivan,THOMPSON (T),45,4,Private
NY1330464,BRIGHT HORIZONS CHILDRENS CENTER,Non-Transient non-community system,Ground water,Dutchess,EAST FISHKILL (T),100,5,Private
NY3407451,BRISTOL MOUNTAIN WATER WORKS,Non-Transient non-community system,Ground water,Ontario,SOUTH BRISTOL (T),318,11,Private
NY1702602,BROADALBIN-PERTH CENTRAL ELEMENTARY SCH.,Non-Transient non-community system,Ground water,Fulton,PERTH (T),720,6,Local government
NY0200323,BROMELEY-DAGGETT EQUESTRIAN CENTER,Non-Transient non-community system,Ground water,Allegany,ALFRED (T),25,1,Private
NY2602981,BROOKFIELD CENTRAL SCHOOL,Non-Transient non-community system,Ground water,Madison,BROOKFIELD (T),300,6,Local government
NY0302531,BROOKSIDE ELEMENTARY SCHOOL,Non-Transient non-community system,Ground water,Broome,BINGHAMTON (T),475,7,Local government
NY5530012,BROOKSIDE UGARC SCHOOL,Non-Transient non-community system,Ground water,Ulster,ROSENDALE (T),100,3,Local government
NY3830058,BROOKWOOD SCHOOL,Non-Transient non-community system,Ground water,Otsego,HARTWICK (T),98,3,Private
NY0821114,"BROOME DDSO, KEMPER LANE",Non-Transient non-community system,Ground water,Chenango,NORWICH (T),100,3,Public/Private
NY1602608,BRUSHTON-MOIRA CENTRAL SCHOOL,Non-Transient non-community system,Ground water,Franklin,BRUSHTON (V),900,11,Public/Private
NY3830155,BURLINGTON FLATS BAPTIST CHURCH,Non-Transient non-community system,Ground water,Otsego,BURLINGTON (T),30,3,Private
NY5907710,BYRAM HILLS HIGH SCHOOL,Non-Transient non-community system,Ground water,Westchester,NORTH CASTLE (T),1000,7,Local government
NY3330007,BYRNE DAIRY LAFAYETTE OFFICE,Non-Transient non-community system,Ground water,Onondaga,LAFAYETTE (T),45,8,Private
NY3318532,C GRANT GRIMSHAW SCHOOL,Non-Transient non-community system,Ground water,Onondaga,LA FAYETTE (T),449,10,Public/Private
NY4730010,C-R HIGH SCHOOL,Non-Transient non-community system,Ground water,Schoharie,RICHMONDVILLE (T),800,7,Local government
NY1323016,"CABLEVISION , TOWN OF WAPPINGER",Non-Transient non-community system,Ground water,Dutchess,WAPPINGER (T),145,6,Private
NY5822366,CAHOON FARMS PROCESSING PLANT,Non-Transient non-community system,Surface water,Wayne,HURON (T),100,5,Private
NY1916150,CAIRO-DURHAM JR-SR HIGH SCHOOL,Non-Transient non-community system,Ground water,Greene,DURHAM (T),701,8,Public/Private
NY5730149,CAMBRIDGE VALLEY MACHINING,Non-Transient non-community system,Ground water,Washington,CAMBRIDGE (T),100,8,Private
NY3930014,CAMP KIWI DAYCARE CAMP,Non-Transient non-community system,Ground water,Putnam,CARMEL (T),80,3,Private
NY5902878,CAMP SMITH NYS,Non-Transient non-community system,Ground water,Westchester,CORTLANDT (T),150,6,State government
NY4702568,CAPITAL REGION CAREER & TECH CENTER,Non-Transient non-community system,Ground water,Schoharie,SCHOHARIE (T),485,5,Public/Private
NY5918213,CARAMOOR CENTER FOR MUSIC ART,Non-Transient non-community system,Ground water,Westchester,BEDFORD (T),50,5,Private
NY3920070,CAREMOUNT,Non-Transient non-community system,Ground water,Putnam,SOUTHEAST (T),38,3,Private
NY3910520,CARMEL CENTRAL SCHOOL DISTRICT OFFICE,Non-Transient non-community system,Ground water,Putnam,PATTERSON (T),25,3,Local government
NY5730129,CARMODY PLAZA,Non-Transient non-community system,Ground water,Washington,GREENWICH (T),40,3,Private
NY1730089,CAROGA LAKE PRIMARY CARE,Non-Transient non-community system,Unknown Primary Source,Fulton,CAROGA (T),25,2,Private
NY5415453,CAROLINE ELEMENTARY SCHOOL,Non-Transient non-community system,Ground water,Tompkins,CAROLINE (T),350,3,Public/Private
NY1330171,CARY INSTITUTE OF ECOSYSTEM STUDIES,Non-Transient non-community system,Ground water,Dutchess,WASHINGTON (T),55,30,Private
NY4430169,CASELLA WASTE SERVICES,Non-Transient non-community system,Ground water,St. Lawrence,PARISHVILLE (T),57,4,Private
NY1930117,CATSKILL MONTESSORI SCHOOL,Non-Transient non-community system,Ground water,Greene,CATSKILL (T),60,7,Private
NY0416807,CATT- ALLEG BOCES CENTER AT OLEAN,Non-Transient non-community system,Ground water,Cattaraugus,OLEAN (T),400,8,Local government
NY0416814,CATT-ALLEG BOCES CENTER AT ELLICOTTVILLE,Non-Transient non-community system,Ground water,Cattaraugus,ELLICOTTVILLE (T),500,7,Private
NY0530040,CAYUGA MENNONITE SCHOOL,Non-Transient non-community system,Groundwater under influence of surface water,Cayuga,MONTEZUMA (T),30,9,Private
NY2622675,CAZENOVIA CHILDRENS HOUSE,Non-Transient non-community system,Ground water,Madison,NELSON (T),40,4,Private
NY5502488,CENTER FOR INNOVATIVE TEACHING &LEARNING,Non-Transient non-community system,Ground water,Ulster,ESOPUS (T),60,3,Private
NY0330081,CENTRAL BAPTIST CHRISTIAN ACADEMY,Non-Transient non-community system,Ground water,Broome,CHENANGO (T),300,9,Private
NY1330640,CENTRAL DUTCHESS WATER LINE,Non-Transient non-community system,Surface water purchased,Dutchess,"EAST FISHKILL (T), POUGHKEEPSIE (T)",2500,4,Local government
NY4310052,CENTRAL UTA OF MONSEY,Non-Transient non-community system,Ground water,Rockland,"AIRMONT (V), RAMAPO (T)",265,7,Private
NY1730087,CG ROXANE,Non-Transient non-community system,Unknown Primary Source,Fulton,JOHNSTOWN (T),25,5,Private
NY3521634,CHAPEL FIELD CHRISTIAN HIGH,Non-Transient non-community system,Ground water,Orange,CRAWFORD (T),200,3,Private
NY5505615,CHARLES RIVER,Non-Transient non-community system,Ground water,Ulster,MARBLETOWN (T),110,4,Private
NY4117259,CHERRY PLAIN SCHOOL,Non-Transient non-community system,Ground water,Rensselaer,BERLIN (T),600,4,Private
NY3830002,CHERRY VALLEY SPRINGFIELD CS,Non-Transient non-community system,Ground water,Otsego,CHERRY VALLEY (T),576,6,Local government
NY3530217,CHESTER INVESTMENT PARTNERS,Non-Transient non-community system,Ground water,Orange,CHESTER  (T),69,3,Private
NY3530219,CHESTER TOWN HALL,Non-Transient non-community system,Ground water,Orange,CHESTER  (T),35,4,Local government
NY3530162,CHILDRENS SAFE STAY,Non-Transient non-community system,Ground water,Orange,DEERPARK (T),65,3,Private
NY3908004,CHILDRENS STATION OF BREWSTER,Non-Transient non-community system,Ground water,Putnam,SOUTHEAST (T),80,4,Private
NY4530224,CHILDTIME,Non-Transient non-community system,Ground water,Saratoga,BALLSTON (T),100,3,Private
NY0822437,CHOBANI INC @ COLUMBUS,Non-Transient non-community system,Ground water,Chenango,COLUMBUS (T),400,13,Private
NY0817249,CHOBANI INC. CORPORATE CAMPUS,Non-Transient non-community system,Ground water,Chenango,NORTH NORWICH (T),250,11,Private
NY1330058,CINNAMON TREE OF EAST FISHKILL,Non-Transient non-community system,Ground water,Dutchess,EAST FISHKILL (T),175,5,Private
NY3515615,CIRCLEVILLE ELEMENTARY SCHOOL,Non-Transient non-community system,Ground water,Orange,WALLKILL (T),850,4,Local government
NY5930052,CITIGROUP EXEC. PLANNING CENTER,Non-Transient non-community system,Ground water,Westchester,,101,6,Private
NY0301387,CLARENCE R. WEEKS ELEM. SCHOOL,Non-Transient non-community system,Ground water,Broome,KIRKWOOD (T),365,6,Local government
NY1230056,CLARK COMPANIES,Non-Transient non-community system,Ground water,Delaware,DELHI (T),25,3,Private
NY3930001,CLEAR POOL INC,Non-Transient non-community system,Ground water,Putnam,KENT (T),25,5,Private
NY3922504,CLOCKTOWER COMMONS,Non-Transient non-community system,Ground water,Putnam,SOUTHEAST (T),100,3,Private
NY5630050,CLUB GRILL AT THE SAGAMORE,Non-Transient non-community system,Ground water,Warren,BOLTON (T),43,5,Private
NY1019927,COARC-EVERGREEN HALL,Non-Transient non-community system,Ground water,Columbia,KINDERHOOK (V),125,5,Private
NY1016886,COARC-MELLENVILLE,Non-Transient non-community system,Ground water,Columbia,CLAVERACK (T),350,4,Private
NY5122304,COASTAL PIPELINE CORP.,Non-Transient non-community system,Ground water,Suffolk,RIVERHEAD (T),30,4,Private
NY1320528,COLD SPRING ELEMENTARY,Non-Transient non-community system,Ground water,Dutchess,STANFORD (T),225,3,Private
NY1017187,COLUMBIA - GREENE COMMUNITY COLLEGE,Non-Transient non-community system,Ground water,Columbia,GREENPORT (T),950,5,Private
NY3922352,COMMUNITY OF THE HOLY SPIRIT,Non-Transient non-community system,Ground water,Putnam,SOUTHEAST (T),25,3,Private
NY5030081,CONKLIN BUILDING,Non-Transient non-community system,Ground water,Steuben,BATH (T),317,3,Private
NY0521401,CONQUEST PAROCHIAL SCHOOL,Non-Transient non-community system,Ground water,Cayuga,CONQUEST (T),45,8,Private
NY3830000,COOPERSTOWN COMMONS,Non-Transient non-community system,Ground water,Otsego,HARTWICK (T),70,7,Private
NY1120131,CORNELL T&R CENTER NEW,Non-Transient non-community system,Ground water,Cortland,HARFORD (T),40,4,Private
NY1122549,CORNELL T&R CENTER OLD,Non-Transient non-community system,Ground water,Cortland,HARFORD (T),40,5,Private
NY1316148,CORNERSTONE OF RHINEBECK,Non-Transient non-community system,Ground water,Dutchess,CLINTON (T),114,5,Private
NY4422843,CORNING,Non-Transient non-community system,Groundwater under influence of surface water,St. Lawrence,DEKALB (T),260,6,Private
NY5930142,CORTLANDT DES,Non-Transient non-community system,Ground water,Westchester,CORTLANDT (T),40,3,Local government
NY4530065,COTTRELL PAPER COMPANY,Non-Transient non-community system,Ground water,Saratoga,MILTON (T),37,6,Private
NY5930023,COUNTRY CHILDREN CENTER (412),Non-Transient non-community system,Ground water,Westchester,BEDFORD (T),63,3,Private
NY5930045,COUNTRY CHILDRENS CENTER II (466),Non-Transient non-community system,Ground water,Westchester,BEDFORD (T),100,3,Private
NY5930005,COUNTRY CHILDRENS CENTER YORKTOWN,Non-Transient non-community system,Ground water,Westchester,YORKTOWN (T),79,4,Private
NY1330692,COUNTRY COMMONS LAGRANGE,Non-Transient non-community system,Ground water,Dutchess,LAGRANGE (T),60,8,Private
NY5415460,COVENANT LOVE COMMUNITY SCHOOL,Non-Transient non-community system,Ground water,Tompkins,DRYDEN (T),100,6,Private
NY1330322,CREATIVE KIDS DAYCARE,Non-Transient non-community system,Ground water,Dutchess,BEEKMAN  (T),64,3,Private
NY3914005,CREATIVE KIDS OF KENT,Non-Transient non-community system,Ground water,Putnam,KENT (T),25,3,Private
NY3930006,CREATIVE KIDS OF MAHOPAC,Non-Transient non-community system,Ground water,Putnam,CARMEL (T),40,5,Private
NY5630115,CREATIVE STAGE LIGHTING CO. INC.,Non-Transient non-community system,Ground water,Warren,JOHNSBURG (T),35,4,Private
NY2230007,CREDO COMMUNITY CENTER,Non-Transient non-community system,Ground water,Jefferson,PAMELIA (T),45,20,Private
NY5930090,CROSS RIVER PLACE,Non-Transient non-community system,Ground water,Westchester,LEWISBORO (T),50,3,Private
NY4530240,"CROSSINGS, THE (HALFMOON WD)",Non-Transient non-community system,Surface water purchased,Saratoga,CLIFTON PARK (T),950,2,Private
NY5730031,CVS/TRACTOR SUPPLY PLAZA,Non-Transient non-community system,Ground water,Washington,GREENWICH (T),36,6,Private
NY0830038,CWS NORTH NORWICH (UV),Non-Transient non-community system,Ground water,Chenango,NORTH NORWICH (T),100,7,Private
NY1002628,DARROW SCHOOL,Non-Transient non-community system,Ground water,Columbia,NEW LEBANON (T),150,7,Private
