PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Owner Type
NY3501332,BRITTANY TERRACE,Community water system,Ground water,Orange,NEW WINDSOR (T),169,4,Private
NY1700017,BROADALBIN (V),Community water system,Ground water,Fulton,BROADALBIN (V),1397,8,Local government
NY2701039,BROCKPORT VILLAGE,Community water system,Surface water purchased,Monroe,BROCKPORT (V),22200,4,Local government
NY4130313,BROOK POINTE,Community water system,Ground water,Rensselaer,SCHODACK (T),93,5,Private
NY1210657,BROOK VIEW MHP,Community water system,Ground water,Delaware,WALTON (T),46,5,Private
NY5111891,BROOKHAVEN NATIONAL LABS,Community water system,Ground water,Suffolk,BROOKHAVEN (T),3500,16,Federal government
NY4701522,BROOKSIDE,Community water system,Ground water,Schoharie,MIDDLEBURGH (T),30,4,Private
NY0310334,BROOKSIDE ESTATES,Community water system,Ground water,Broome,NANTICOKE (T),107,6,Private
NY0611923,BROOKSIDE ESTATES MHP,Community water system,Ground water,Chautauqua,CARROLL (T),200,4,Private
NY1330601,BROOKSIDE MEADOWS APARTMENTS,Community water system,Ground water,Dutchess,PLEASANT VALLEY (T),600,4,Private
NY5201341,BROOKSIDE MOBILE HOME PARK,Community water system,Ground water,Sullivan,THOMPSON (T),36,4,Private
NY4130001,BROOKSIDE SENIOR HOUSING,Community water system,Ground water,Rensselaer,SAND LAKE (T),40,4,Private
NY5405820,BROOKVIEW APARTMENTS,Community water system,Ground water,Tompkins,DRYDEN (T),45,5,Private
NY4501803,BROOKVIEW MHP,Community water system,Ground water,Saratoga,GREENFIELD (T),330,7,Private
NY5018387,BROOKWOOD MOBILE HOME PARK,Community water system,Ground water,Steuben,BATH (T),58,7,Private
NY5405794,BROOKWOODS MOBILE MANOR,Community water system,Ground water,Tompkins,LANSING (T),50,4,Private
NY2235001,BROWNVILLE (T) WATER DISTRICT #1,Community water system,Surface water purchased,Jefferson,BROWNVILLE (T),600,2,Local government
NY2202332,BROWNVILLE VILLAGE,Community water system,Ground water,Jefferson,BROWNVILLE (V),1200,9,Local government
NY4110144,BRUNSWICK CONSOLIDATED WATER DISTRICT,Community water system,Surface water purchased,Rensselaer,BRUNSWICK (T),7050,13,Local government
NY4117220,BRUNSWICK HILLSIDE APARTMENTS,Community water system,Ground water,Rensselaer,BRUNSWICK (T),35,5,Private
NY4130300,BRUNSWICK WATER DISTRICT #11,Community water system,Surface water purchased,Rensselaer,TROY (C),249,3,Local government
NY4130339,BRUNSWICK WD# 16,Community water system,Surface water purchased,Rensselaer,BRUNSWICK (T),200,2,Local government
NY5903422,BUCHANAN VILLAGE,Community water system,Surface water purchased,Westchester,BUCHANAN (V),2200,3,Local government
NY3221818,BUCK-HORN ASSOCIATION,Community water system,Ground water,Oneida,FORESTPORT (T),87,9,Private
NY5230224,BUENA VISTA APARTMENTS,Community water system,Ground water,Sullivan,LIBERTY (T),52,5,Private
NY6012850,BUFFALO HILL VILLAGE MHP,Community water system,Ground water,Wyoming,SHELDON (T),50,6,Private
NY1400422,BUFFALO WATER AUTHORITY,Community water system,Surface water,Erie,BUFFALO (C),276000,4,Local government
NY4925000,BURGESS ROAD WATER DISTRICT,Community water system,Surface water purchased,Seneca,WATERLOO (T),200,3,Local government
NY1600005,BURKE V,Community water system,Ground water,Franklin,BURKE (V),273,4,Local government
NY4505658,BURNT HILLS-BALLSTON LK WD,Community water system,Surface water purchased,Saratoga,BALLSTON (T),8700,13,Local government
NY0600808,BUSTI MOBILE HOME PARK,Community water system,Ground water,Chautauqua,BUSTI (T),97,4,Private
NY5000730,BUTLER ESTATES,Community water system,Ground water,Steuben,CORNING (T),38,5,Private
NY3300985,BUTTERNUT LANDING MHP,Community water system,Ground water,Onondaga,LA FAYETTE (T),129,8,Private
NY0920775,CADYVILLE WATER DISTRICT,Community water system,Ground water,Clinton,PLATTSBURGH (C),843,11,Local government
NY1900025,CAIRO WATER DISTRICT,Community water system,Ground water,Greene,CAIRO (T),1408,10,Local government
