seg_id,waterbody,huc_10,basin_name,class,water_type,segment_assessment,use,use_assessment,parameter,grandfathered_from_listings,data_supported,stayCALM_param_eval
0102-0039,Attica Reservoir,0412010401,Lake Erie-Niagara River,a,pond,IR5_impaired,primary_contact_recreation,IR5_impaired_confirmed,phosphorus,no,yes,impaired-pollutant_confirmed
0102-0039,Attica Reservoir,0412010401,Lake Erie-Niagara River,a,pond,IR5_impaired,secondary_contact_recreation,IR5_impaired_confirmed,phosphorus,no,yes,impaired-pollutant_confirmed
0102-0039,Attica Reservoir,0412010401,Lake Erie-Niagara River,a,pond,IR5_impaired,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0102-0039,Attica Reservoir,0412010401,Lake Erie-Niagara River,a,pond,IR5_impaired,source_of_water_supply,IR5_impaired_confirmed,iron; manganese,no,yes,impaired-pollutant_confirmed
0102-0040,Attica Water Supply Reservoir,0412010401,Lake Erie-Niagara River,a,pond,IR3_needs-verification,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0102-0040,Attica Water Supply Reservoir,0412010401,Lake Erie-Niagara River,a,pond,IR3_needs-verification,fishing,IR3_unassessed,ammonia,no,yes,unassessed
0102-0040,Attica Water Supply Reservoir,0412010401,Lake Erie-Niagara River,a,pond,IR3_needs-verification,primary_contact_recreation,IR3_impaired_unconfirmed,phosphorus,no,yes,impaired_unconfirmed
0102-0040,Attica Water Supply Reservoir,0412010401,Lake Erie-Niagara River,a,pond,IR3_needs-verification,secondary_contact_recreation,IR3_impaired_unconfirmed,phosphorus,no,yes,impaired_unconfirmed
0102-0040,Attica Water Supply Reservoir,0412010401,Lake Erie-Niagara River,a,pond,IR3_needs-verification,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0102-0040,Attica Water Supply Reservoir,0412010401,Lake Erie-Niagara River,a,pond,IR3_needs-verification,source_of_water_supply,IR3_impaired_unconfirmed,iron; manganese,no,yes,impaired_unconfirmed
0102-0043,Faun Lake,0412010401,Lake Erie-Niagara River,c,pond,IR3_needs-verification,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0102-0043,Faun Lake,0412010401,Lake Erie-Niagara River,c,pond,IR3_needs-verification,fishing,IR3_fully-supported_unconfirmed,dissolved_oxygen; nitrite; ph,no,yes,fully-supported_unconfirmed
0102-0043,Faun Lake,0412010401,Lake Erie-Niagara River,c,pond,IR3_needs-verification,primary_contact_recreation,not-applicable,not-applicable,no,yes,not-applicable
0102-0043,Faun Lake,0412010401,Lake Erie-Niagara River,c,pond,IR3_needs-verification,secondary_contact_recreation,not-applicable,not-applicable,no,yes,not-applicable
0102-0043,Faun Lake,0412010401,Lake Erie-Niagara River,c,pond,IR3_needs-verification,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0102-0043,Faun Lake,0412010401,Lake Erie-Niagara River,c,pond,IR3_needs-verification,source_of_water_supply,not-applicable,not-applicable,no,yes,not-applicable
0103-0010,Beaver Meadow Pond,0412010302,Lake Erie-Niagara River,c,pond,IR3_needs-verification,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0103-0010,Beaver Meadow Pond,0412010302,Lake Erie-Niagara River,c,pond,IR3_needs-verification,fishing,IR3_impaired_unconfirmed,ph,no,yes,impaired_unconfirmed
0103-0010,Beaver Meadow Pond,0412010302,Lake Erie-Niagara River,c,pond,IR3_needs-verification,primary_contact_recreation,not-applicable,not-applicable,no,yes,not-applicable
0103-0010,Beaver Meadow Pond,0412010302,Lake Erie-Niagara River,c,pond,IR3_needs-verification,secondary_contact_recreation,not-applicable,not-applicable,no,yes,not-applicable
0103-0010,Beaver Meadow Pond,0412010302,Lake Erie-Niagara River,c,pond,IR3_needs-verification,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0103-0010,Beaver Meadow Pond,0412010302,Lake Erie-Niagara River,c,pond,IR3_needs-verification,source_of_water_supply,not-applicable,not-applicable,no,yes,not-applicable
0103-0016,Orchard Park Reservoir,0412010303,Lake Erie-Niagara River,a,pond,IR3_unassessed,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0103-0016,Orchard Park Reservoir,0412010303,Lake Erie-Niagara River,a,pond,IR3_unassessed,fishing,IR3_unassessed,No_Data,no,yes,unassessed
0103-0016,Orchard Park Reservoir,0412010303,Lake Erie-Niagara River,a,pond,IR3_unassessed,primary_contact_recreation,IR3_unassessed,No_Data,no,yes,unassessed
0103-0016,Orchard Park Reservoir,0412010303,Lake Erie-Niagara River,a,pond,IR3_unassessed,secondary_contact_recreation,IR3_unassessed,No_Data,no,yes,unassessed
0103-0016,Orchard Park Reservoir,0412010303,Lake Erie-Niagara River,a,pond,IR3_unassessed,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0103-0016,Orchard Park Reservoir,0412010303,Lake Erie-Niagara River,a,pond,IR3_unassessed,source_of_water_supply,IR3_unassessed,No_Data,no,yes,unassessed
0104-0001,Lime Lake,0412010201,Lake Erie-Niagara River,b,pond,IR5_impaired,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0104-0001,Lime Lake,0412010201,Lake Erie-Niagara River,b,pond,IR5_impaired,fishing,IR3_unassessed,ammonia,no,yes,unassessed
0104-0001,Lime Lake,0412010201,Lake Erie-Niagara River,b,pond,IR5_impaired,primary_contact_recreation,IR5_impaired_confirmed,phosphorus,no,yes,impaired-pollutant_confirmed
0104-0001,Lime Lake,0412010201,Lake Erie-Niagara River,b,pond,IR5_impaired,secondary_contact_recreation,IR5_impaired_confirmed,phosphorus,no,yes,impaired-pollutant_confirmed
0104-0001,Lime Lake,0412010201,Lake Erie-Niagara River,b,pond,IR5_impaired,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0104-0001,Lime Lake,0412010201,Lake Erie-Niagara River,b,pond,IR5_impaired,source_of_water_supply,not-applicable,not-applicable,no,yes,not-applicable
0104-0004,Java Lake,0412010201,Lake Erie-Niagara River,b,pond,IR4c_impaired,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0104-0004,Java Lake,0412010201,Lake Erie-Niagara River,b,pond,IR4c_impaired,fishing,IR3_unassessed,ammonia,no,yes,unassessed
0104-0004,Java Lake,0412010201,Lake Erie-Niagara River,b,pond,IR4c_impaired,primary_contact_recreation,IR4a_impaired_confirmed,phosphorus,no,yes,impaired-tmdl_confirmed
0104-0004,Java Lake,0412010201,Lake Erie-Niagara River,b,pond,IR4c_impaired,secondary_contact_recreation,IR4c_impaired_confirmed,algal_weed_growth,yes,no,unassessed
0104-0004,Java Lake,0412010201,Lake Erie-Niagara River,b,pond,IR4c_impaired,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0104-0004,Java Lake,0412010201,Lake Erie-Niagara River,b,pond,IR4c_impaired,source_of_water_supply,not-applicable,not-applicable,no,yes,not-applicable
0104-0032,Lake Erie (Erie Basin),0412010406,Lake Erie-Niagara River,c,pond,IR5_impaired,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0104-0032,Lake Erie (Erie Basin),0412010406,Lake Erie-Niagara River,c,pond,IR5_impaired,fishing,IR5_impaired_confirmed,pcbs,yes,no,unassessed
0104-0032,Lake Erie (Erie Basin),0412010406,Lake Erie-Niagara River,c,pond,IR5_impaired,primary_contact_recreation,not-applicable,not-applicable,no,yes,not-applicable
0104-0032,Lake Erie (Erie Basin),0412010406,Lake Erie-Niagara River,c,pond,IR5_impaired,secondary_contact_recreation,not-applicable,not-applicable,no,yes,not-applicable
0104-0032,Lake Erie (Erie Basin),0412010406,Lake Erie-Niagara River,c,pond,IR5_impaired,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0104-0032,Lake Erie (Erie Basin),0412010406,Lake Erie-Niagara River,c,pond,IR5_impaired,source_of_water_supply,not-applicable,not-applicable,no,yes,not-applicable
0104-0033,"Lake Erie (Outer Harbor, North)",0412010303,Lake Erie-Niagara River,b,pond,IR5_impaired,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0104-0033,"Lake Erie (Outer Harbor, North)",0412010303,Lake Erie-Niagara River,b,pond,IR5_impaired,fishing,IR5_impaired_confirmed,pcbs,yes,no,unassessed
0104-0033,"Lake Erie (Outer Harbor, North)",0412010303,Lake Erie-Niagara River,b,pond,IR5_impaired,primary_contact_recreation,IR3_unassessed,No_Data,no,yes,unassessed
0104-0033,"Lake Erie (Outer Harbor, North)",0412010303,Lake Erie-Niagara River,b,pond,IR5_impaired,secondary_contact_recreation,IR3_unassessed,No_Data,no,yes,unassessed
0104-0033,"Lake Erie (Outer Harbor, North)",0412010303,Lake Erie-Niagara River,b,pond,IR5_impaired,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0104-0033,"Lake Erie (Outer Harbor, North)",0412010303,Lake Erie-Niagara River,b,pond,IR5_impaired,source_of_water_supply,not-applicable,not-applicable,no,yes,not-applicable
0104-0034,"Lake Erie (Outer Harbor, South)",0412010303,Lake Erie-Niagara River,c,pond,IR5_impaired,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0104-0034,"Lake Erie (Outer Harbor, South)",0412010303,Lake Erie-Niagara River,c,pond,IR5_impaired,fishing,IR5_impaired_confirmed,pcbs,yes,no,unassessed
0104-0034,"Lake Erie (Outer Harbor, South)",0412010303,Lake Erie-Niagara River,c,pond,IR5_impaired,primary_contact_recreation,not-applicable,not-applicable,no,yes,not-applicable
0104-0034,"Lake Erie (Outer Harbor, South)",0412010303,Lake Erie-Niagara River,c,pond,IR5_impaired,secondary_contact_recreation,not-applicable,not-applicable,no,yes,not-applicable
0104-0034,"Lake Erie (Outer Harbor, South)",0412010303,Lake Erie-Niagara River,c,pond,IR5_impaired,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0104-0034,"Lake Erie (Outer Harbor, South)",0412010303,Lake Erie-Niagara River,c,pond,IR5_impaired,source_of_water_supply,not-applicable,not-applicable,no,yes,not-applicable
0104-0035,Lake Erie (Northeast Shoreline),0412010303,Lake Erie-Niagara River,c,pond,IR5_impaired,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0104-0035,Lake Erie (Northeast Shoreline),0412010303,Lake Erie-Niagara River,c,pond,IR5_impaired,fishing,IR5_impaired_confirmed,pcbs,yes,no,unassessed
0104-0035,Lake Erie (Northeast Shoreline),0412010303,Lake Erie-Niagara River,c,pond,IR5_impaired,primary_contact_recreation,not-applicable,not-applicable,no,yes,not-applicable
0104-0035,Lake Erie (Northeast Shoreline),0412010303,Lake Erie-Niagara River,c,pond,IR5_impaired,secondary_contact_recreation,not-applicable,not-applicable,no,yes,not-applicable
0104-0035,Lake Erie (Northeast Shoreline),0412010303,Lake Erie-Niagara River,c,pond,IR5_impaired,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0104-0035,Lake Erie (Northeast Shoreline),0412010303,Lake Erie-Niagara River,c,pond,IR5_impaired,source_of_water_supply,not-applicable,not-applicable,no,yes,not-applicable
0104-0036,Lake Erie (Northeast Shoreline),0412010304,Lake Erie-Niagara River,b,pond,IR5_impaired,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0104-0036,Lake Erie (Northeast Shoreline),0412010304,Lake Erie-Niagara River,b,pond,IR5_impaired,fishing,IR5_impaired_confirmed,fecal_coliform; pcbs,yes,no,unassessed
0104-0036,Lake Erie (Northeast Shoreline),0412010304,Lake Erie-Niagara River,b,pond,IR5_impaired,primary_contact_recreation,IR5_impaired_confirmed,fecal_coliform; pcbs,yes,no,unassessed
0104-0036,Lake Erie (Northeast Shoreline),0412010304,Lake Erie-Niagara River,b,pond,IR5_impaired,secondary_contact_recreation,IR5_impaired_confirmed,fecal_coliform; pcbs,yes,no,unassessed
0104-0036,Lake Erie (Northeast Shoreline),0412010304,Lake Erie-Niagara River,b,pond,IR5_impaired,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0104-0036,Lake Erie (Northeast Shoreline),0412010304,Lake Erie-Niagara River,b,pond,IR5_impaired,source_of_water_supply,not-applicable,not-applicable,no,yes,not-applicable
0104-0037,"Lake Erie (Main Lake, North)",0412010306,Lake Erie-Niagara River,a-special,pond,IR5_impaired,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0104-0037,"Lake Erie (Main Lake, North)",0412010306,Lake Erie-Niagara River,a-special,pond,IR5_impaired,fishing,IR5_impaired_confirmed,fecal_coliform; pcbs,yes,no,unassessed
0104-0037,"Lake Erie (Main Lake, North)",0412010306,Lake Erie-Niagara River,a-special,pond,IR5_impaired,primary_contact_recreation,IR5_impaired_confirmed,fecal_coliform; pcbs,yes,no,unassessed
0104-0037,"Lake Erie (Main Lake, North)",0412010306,Lake Erie-Niagara River,a-special,pond,IR5_impaired,secondary_contact_recreation,IR5_impaired_confirmed,fecal_coliform; pcbs,yes,no,unassessed
0104-0037,"Lake Erie (Main Lake, North)",0412010306,Lake Erie-Niagara River,a-special,pond,IR5_impaired,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0104-0037,"Lake Erie (Main Lake, North)",0412010306,Lake Erie-Niagara River,a-special,pond,IR5_impaired,source_of_water_supply,IR3_unassessed,No_Data,no,yes,unassessed
0104-0057,Clear Lake,0412010202,Lake Erie-Niagara River,a,pond,IR5_impaired,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0104-0057,Clear Lake,0412010202,Lake Erie-Niagara River,a,pond,IR5_impaired,fishing,IR5_impaired_confirmed,dissolved_oxygen,yes,no,impaired_unconfirmed
0104-0057,Clear Lake,0412010202,Lake Erie-Niagara River,a,pond,IR5_impaired,primary_contact_recreation,IR3_impaired_unconfirmed,dissolved_oxygen; phosphorus,no,yes,impaired_unconfirmed
0104-0057,Clear Lake,0412010202,Lake Erie-Niagara River,a,pond,IR5_impaired,secondary_contact_recreation,IR3_impaired_unconfirmed,dissolved_oxygen; phosphorus,no,yes,impaired_unconfirmed
0104-0057,Clear Lake,0412010202,Lake Erie-Niagara River,a,pond,IR5_impaired,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0104-0057,Clear Lake,0412010202,Lake Erie-Niagara River,a,pond,IR5_impaired,source_of_water_supply,IR3_impaired_unconfirmed,ammonia; dissolved_oxygen; iron; manganese,no,yes,impaired_unconfirmed
0104-0060,"Rainbow, Timber Lakes",0412010202,Lake Erie-Niagara River,c(t),pond,IR3_unassessed,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0104-0060,"Rainbow, Timber Lakes",0412010202,Lake Erie-Niagara River,c(t),pond,IR3_unassessed,fishing,IR3_unassessed,ammonia,no,yes,unassessed
0104-0060,"Rainbow, Timber Lakes",0412010202,Lake Erie-Niagara River,c(t),pond,IR3_unassessed,primary_contact_recreation,not-applicable,not-applicable,no,yes,not-applicable
0104-0060,"Rainbow, Timber Lakes",0412010202,Lake Erie-Niagara River,c(t),pond,IR3_unassessed,secondary_contact_recreation,not-applicable,not-applicable,no,yes,not-applicable
0104-0060,"Rainbow, Timber Lakes",0412010202,Lake Erie-Niagara River,c(t),pond,IR3_unassessed,shellfishing,not-applicable,not-applicable,no,yes,not-applicable
0104-0060,"Rainbow, Timber Lakes",0412010202,Lake Erie-Niagara River,c(t),pond,IR3_unassessed,source_of_water_supply,not-applicable,not-applicable,no,yes,not-applicable
0104-0066,"Frog Pond, Sucker Pond",0412010201,Lake Erie-Niagara River,c,pond,IR3_needs-verification,epa_appended_listing,not-applicable,not-applicable,no,yes,not-applicable
0104-0066,"Frog Pond, Sucker Pond",0412010201,Lake Erie-Niagara River,c,pond,IR3_needs-verification,fishing,IR3_impaired_unconfirmed,ph,no,yes,impaired_unconfirmed
