seg_id,within_period,use,type,parameter,fraction,units,n_samples_collected,n_years_sampled,n_exceedances,n_years_w_exceedances,n_no_result_value_provided,n_threshold_data_absent,notes
0104-0070,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
0104-0070,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
0104-0070,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,7,1,0,0,0,4,none
0104-0070,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,4,1,6,1,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0104-0070,TRUE,fishing,none,ph,total,ph_units,4,1,0,0,0,0,none
0104-0071,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,1,1,0,0,none
0104-0071,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,1,1,0,0,none
0105-0014,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
0105-0014,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,1,1,0,0,0,0,none
0105-0014,FALSE,source_of_water_supply,health_water-source,chloride,total,ug/l,1,1,0,0,0,0,none
0105-0014,FALSE,source_of_water_supply,health_water-source,magnesium,total,ug/l,1,1,0,0,0,0,none
0105-0014,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,1,1,0,0,0,0,none
0105-0014,FALSE,source_of_water_supply,health_water-source,sulfate,total,ug/l,1,1,0,0,0,0,none
0105-0021,FALSE,fishing,aquatic_chronic,ammonia,total,ug/l,2,1,0,0,0,2,none
0105-0021,FALSE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,2,1,0,0,0,0,none
0105-0021,FALSE,primary_contact_recreation,recreation,phosphorus,total,ug/l,2,1,0,0,0,0,none
0105-0021,FALSE,source_of_water_supply,health_water-source,ammonia,total,ug/l,2,1,0,0,0,0,none
0105-0021,FALSE,source_of_water_supply,health_water-source,magnesium,total,ug/l,4,1,0,0,0,0,none
0105-0021,FALSE,source_of_water_supply,health_water-source,nitrate_nitrite,total,ug/l,1,1,0,0,0,0,none
0105-0021,TRUE,fishing,aquatic_chronic,ammonia,total,ug/l,12,3,0,0,0,10,none
0105-0021,TRUE,fishing,aquatic_chronic,nitrite,total,ug/l,8,2,0,0,0,0,none
0105-0021,TRUE,fishing,none,dissolved_oxygen,dissolved,mg/l,7,3,8,3,0,0,n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.
0105-0021,TRUE,fishing,none,ph,total,ph_units,7,3,0,0,0,0,none
0105-0021,TRUE,secondary_contact_recreation,recreation,phosphorus,total,ug/l,4,2,0,0,0,0,none
