seg_id,waterbody,description,win,huc_10,basin_name,subbasin_name,region,county_name,class,water_type,waterbody_size,waterbody_size_units,segment_assessment,segment_ir_number,use,use_assessment,use_ir_number,parameter,listing_agency
1104-0061,Lewey Lake,entire lake,H-461-P597-P597a,0202000102,Upper Hudson River,Hudson Headwaters,5,Hamilton,b,pond,370.3,Acres,IR3_unassessed,3,secondary_contact_recreation,IR3_unassessed,3,No_Data,NYSDEC
1104-0062,"Sacandaga River, Upper, Main Stem",from Great Sacandaga Lake to West Branch,H-369.. (portion 1),0202000203,Upper Hudson River,Hudson Headwaters,5,Hamilton,b,flow,18.5,Miles,IR3_needs-verification,3,primary_contact_recreation,IR3_unassessed,3,No_Data,NYSDEC
1104-0063,"West Branch Sacandaga, Lower, and tribs",stream and tribs from mouth to Piseco Lake Outlet,H-369..20,0202000202,Upper Hudson River,Hudson Headwaters,5,Hamilton,c(t),flow,158.3,Miles,IR3_needs-verification,3,fishing,IR3_impaired_unconfirmed,3,ph,NYSDEC
1104-0064,"Cedar River, Lower, and tribs","stream and tribs, from mouth to Indian Lake",H-469,0202000103,Upper Hudson River,Hudson Headwaters,5,Essex,c(t),flow,113.7,Miles,IR3_needs-verification,3,fishing,IR3_stressed_unconfirmed,3,dissolved_oxygen; ph,NYSDEC
1104-0073,Round Pond,entire lake,H-369..29-25-2-P296,0202000201,Upper Hudson River,Hudson Headwaters,5,Hamilton,a,pond,7.7,Acres,IR3_needs-verification,3,fish_consumption,IR3_impaired_unconfirmed,3,mercury,NYSDEC
1104-0074,Lake Adirondack,entire lake,H-461-15-P587a,0202000102,Upper Hudson River,Hudson Headwaters,5,Hamilton,b,pond,192.8,Acres,IR3_unassessed,3,secondary_contact_recreation,IR3_unassessed,3,No_Data,NYSDEC
1104-0075,Lake Luzerne,entire lake,H-370-P318,0202000107,Upper Hudson River,Hudson Headwaters,5,Warren,b,pond,99.3,Acres,IR3_needs-verification,3,shellfishing,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0100,Tribs to Stewarts Bridge Reservoir,total length of tribs to reservoir,H-369-P126a- 2 thru 7,0202000207,Upper Hudson River,Hudson Headwaters,5,Saratoga,c(t),flow,14.4,Miles,IR3_unassessed,3,secondary_contact_recreation,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0101,Daly Creek and tribs,entire stream and tribs,H-369-P127- 2,0202000207,Upper Hudson River,Hudson Headwaters,5,Saratoga,c(t),flow,36.3,Miles,IR3_unassessed,3,shellfishing,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0102,Davignon Pond,entire lake,H-369-P127- 2-1-P127a,0202000207,Upper Hudson River,Hudson Headwaters,5,Saratoga,c,pond,29.9,Acres,IR3_unassessed,3,fishing,IR3_unassessed,3,No_Data,NYSDEC
1104-0103,Palmer Lake,entire lake,H-369-P127- 2-1-P127b,0202000207,Upper Hudson River,Hudson Headwaters,5,Saratoga,c,pond,9.2,Acres,IR3_unassessed,3,fishing,IR3_unassessed,3,No_Data,NYSDEC
1104-0104,Black Pond,entire pond,H-369-P127- 2-2-1-P128,0202000207,Upper Hudson River,Hudson Headwaters,5,Saratoga,c,pond,49.1,Acres,IR3_unassessed,3,shellfishing,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0105,"Efner, Jenny and Hunt Lakes",total area of all three lake,"H-369-P127- 2..P129,P130,P131",0202000207,Upper Hudson River,Hudson Headwaters,5,Saratoga,b,pond,322.3,Acres,IR3_needs-verification,3,secondary_contact_recreation,IR1_fully-supported_confirmed,1,phosphorus,NYSDEC
1104-0106,Minor Tribs to Great Sacandaga Lake,"total length of tribs, eastern shore",H-369-P127- 3 thru 19,0202000207,Upper Hudson River,Hudson Headwaters,5,Saratoga,c,flow,43.7,Miles,IR3_unassessed,3,secondary_contact_recreation,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0107,"Miner Mill Vly, Johnnycake L, Fly,Shew P",total area of all lakes,H-369-P127- 3 thru19..P131a thru 34,0202000207,Upper Hudson River,Hudson Headwaters,5,Saratoga,c,pond,32.4,Acres,IR3_unassessed,3,shellfishing,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0109,"Hans Creek, Lower, and tribs",stream and tribs from mouth to Amsterdam water supply,H-369-P127-21,0202000206,Upper Hudson River,Hudson Headwaters,5,Fulton,c(t),flow,5,Miles,IR3_unassessed,3,secondary_contact_recreation,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0110,"Hans Creek, Upper, and tribs",stream and tribs above Amsterdam water supply,H-369-P127-21,0202000206,Upper Hudson River,Hudson Headwaters,5,Saratoga,aa,flow,35.7,Miles,IR3_unassessed,3,secondary_contact_recreation,IR3_unassessed,3,No_Data,NYSDEC
1104-0111,Steele Reservoir,entire reservoir,H-369-P127-21- 3-P135,0202000206,Upper Hudson River,Hudson Headwaters,5,Saratoga,aa,pond,161.8,Acres,IR3_needs-verification,3,fishing,IR3_impaired_unconfirmed,3,dissolved_oxygen; ph,NYSDEC
1104-0112,Mulleyville Pond,entire lake,H-369-P127-21-11-P139a,0202000206,Upper Hudson River,Hudson Headwaters,5,Saratoga,c,pond,11.4,Acres,IR3_unassessed,3,fishing,IR3_unassessed,3,No_Data,NYSDEC
1104-0113,Cook Reservoir,entire reservoir,H-369-P127-21-P136,0202000206,Upper Hudson River,Hudson Headwaters,5,Saratoga,aa,pond,40.6,Acres,IR3_needs-verification,3,secondary_contact_recreation,IR3_fully-supported_unconfirmed,3,phosphorus,NYSDEC
1104-0114,Ireland Vly,entire reservoir,H-369-P127-21-P136a,0202000206,Upper Hudson River,Hudson Headwaters,5,Saratoga,aa,pond,250.6,Acres,IR3_needs-verification,3,primary_contact_recreation,IR3_fully-supported_unconfirmed,3,phosphorus,NYSDEC
1104-0115,Round Lake,entire lake,H-369-P127-21-P136a-6-P137,0202000206,Upper Hudson River,Hudson Headwaters,5,Saratoga,aa,pond,51.9,Acres,IR3_unassessed,3,source_of_water_supply,IR3_unassessed,3,No_Data,NYSDEC
1104-0116,Minor Tribs to Great Sacandaga,"total length of selected tribs, southern/western shores",H-369-P127-22 thru 45 (selected),0202000206,Upper Hudson River,Hudson Headwaters,5,Fulton,c,flow,47.1,Miles,IR3_unassessed,3,fishing,IR3_unassessed,3,No_Data,NYSDEC
1104-0117,Frenchman Creek and tribs,entire stream and tribs,H-369-P127-23,0202000206,Upper Hudson River,Hudson Headwaters,5,Fulton,c(t),flow,22.8,Miles,IR3_unassessed,3,fishing,IR3_unassessed,3,No_Data,NYSDEC
1104-0118,Cadman Creek and tribs,entire stream and tribs,H-369-P127-26-8,0202000206,Upper Hudson River,Hudson Headwaters,5,Fulton,c(t),flow,24.3,Miles,IR3_unassessed,3,source_of_water_supply,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0119,Bill Pond/Lake Nancy,entire lake,H-369-P127-26-8-P143a,0202000206,Upper Hudson River,Hudson Headwaters,5,Fulton,b,pond,73,Acres,IR3_unassessed,3,shellfishing,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0120,Archer Vly,entire lake,H-369-P127-26-8-P144,0202000206,Upper Hudson River,Hudson Headwaters,5,Fulton,c,pond,19.4,Acres,IR3_unassessed,3,secondary_contact_recreation,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0121,Lake Desolation,entire lake,H-369-P127-26..P147,0202000206,Upper Hudson River,Hudson Headwaters,5,Fulton,b,pond,66.3,Acres,IR3_unassessed,3,primary_contact_recreation,IR3_unassessed,3,No_Data,NYSDEC
1104-0122,Anthony Creek and tribs,entire stream and tribs,H-369-P127-32,0202000206,Upper Hudson River,Hudson Headwaters,5,Fulton,c,flow,13.8,Miles,IR3_unassessed,3,primary_contact_recreation,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0123,Mayfield Creek and minor tribs,entire stream and selected/smaller tribs,H-369-P127-33,0202000206,Upper Hudson River,Hudson Headwaters,5,Fulton,c(t),flow,21.8,Miles,IR3_unassessed,3,fishing,IR3_unassessed,3,No_Data,NYSDEC
1104-0124,Tribs to Mayfield Creek,"total length of selected tribs, Gloversville water supp",H-369-P127-33-1,0202000206,Upper Hudson River,Hudson Headwaters,5,Fulton,a(t),flow,5.3,Miles,IR3_needs-verification,3,fishing,IR3_impaired_unconfirmed,3,ph,NYSDEC
1104-0125,Jackson Summit/Cameron Reservoirs,total area of both entire reservoirs,H-369-P127-33-1-P151/P152,0202000206,Upper Hudson River,Hudson Headwaters,5,Fulton,a,pond,130,Acres,IR3_needs-verification,3,fishing,IR3_unassessed,3,No_Data,NYSDEC
1104-0126,Trib to Mayfield Creek,"total length of selected tribs, Gloversville aux supply",H-369-P127-33-3-1,0202000206,Upper Hudson River,Hudson Headwaters,5,Fulton,a,flow,3.5,Miles,IR3_needs-verification,3,fishing,IR3_stressed_unconfirmed,3,ph,NYSDEC
1104-0127,"Rice, Port Reservoirs",total area of both reservoirs,"H-369-P127-33-3-1-P152d,152e",0202000206,Upper Hudson River,Hudson Headwaters,5,Fulton,a,pond,35.3,Acres,IR3_needs-verification,3,shellfishing,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0128,Sacandaga Park Reservoir,entire reservoir,H-369-P127-38-P154a,0202000206,Upper Hudson River,Hudson Headwaters,5,Fulton,aa,pond,3.2,Acres,IR3_unassessed,3,secondary_contact_recreation,IR3_unassessed,3,No_Data,NYSDEC
1104-0129,Woodward Lake,entire lake,H-369-P127-44-P154b,0202000206,Upper Hudson River,Hudson Headwaters,5,Fulton,c,pond,101.3,Acres,IR3_unassessed,3,primary_contact_recreation,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0130,"West Stony Creek, Lower, and tribs",stream and tribs from mouth to Pinnacle,H-369-P127-46,0202000204,Upper Hudson River,Hudson Headwaters,5,Hamilton,c,flow,45,Miles,IR3_unassessed,3,primary_contact_recreation,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0131,"West Stony Creek, Upper, and tribs","stream and tribs, above Pinnacle",H-369-P127-46,0202000204,Upper Hudson River,Hudson Headwaters,5,Fulton,c,flow,60,Miles,IR3_unassessed,3,fishing,IR3_unassessed,3,No_Data,NYSDEC
1104-0132,Mud Lake,entire lake,H-369-P127-46- 3-P155,0202000204,Upper Hudson River,Hudson Headwaters,5,Hamilton,a,pond,8.1,Acres,IR3_unassessed,3,fishing,IR3_unassessed,3,No_Data,NYSDEC
1104-0133,North Branch West Stony Creek and tribs,entire stream and tribs,H-369-P127-46- 8,0202000204,Upper Hudson River,Hudson Headwaters,5,Hamilton,c,flow,54.8,Miles,IR3_needs-verification,3,fishing,IR3_stressed_unconfirmed,3,ph,NYSDEC
1104-0134,Woods Lake,entire lake,H-369-P127-46- 8-3-P156,0202000204,Upper Hudson River,Hudson Headwaters,5,Hamilton,c,pond,66.3,Acres,IR4a_impaired,4a,fish_consumption,IR4a_impaired_confirmed,4a,mercury,NYSDEC
1104-0135,"Chase Lake, Mud Lake",total area of both lakes,"H-369-P127-46- 9-P164,P165",0202000204,Upper Hudson River,Hudson Headwaters,5,Fulton,c,pond,67.1,Acres,IR4a_impaired,4a,fish_consumption,IR4a_impaired_confirmed,4a,mercury,NYSDEC
1104-0136,Racker Vly,entire lake,H-369-P127-46-10-1-P165a,0202000204,Upper Hudson River,Hudson Headwaters,5,Fulton,c(t),pond,12,Acres,IR3_unassessed,3,secondary_contact_recreation,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0137,Bennett/Middle Lakes,total area of both lakes,"H-369-P127-48- 4-P182,P184",0202000205,Upper Hudson River,Hudson Headwaters,5,Hamilton,a,pond,39.8,Acres,IR3_unassessed,3,secondary_contact_recreation,IR3_unassessed,3,No_Data,NYSDEC
1104-0138,Tenant Lake,entire lake,H-369-P127-48-11-P186,0202000205,Upper Hudson River,Hudson Headwaters,5,Saratoga,c,pond,77.2,Acres,IR3_unassessed,3,primary_contact_recreation,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0139,"Wilcox, New Lakes",total area of both lakes,"H-369-P127-48-13-P188,P187",0202000205,Upper Hudson River,Hudson Headwaters,5,Warren,a,pond,172.5,Acres,IR3_unassessed,3,shellfishing,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0140,Harrisburg Lake,entire lake,H-369-P127-48-18-P189,0202000205,Upper Hudson River,Hudson Headwaters,5,Warren,b(t),pond,159.3,Acres,IR3_needs-verification,3,fishing,IR3_impaired_unconfirmed,3,dissolved_oxygen,NYSDEC
1104-0141,"Bullhead Pond, St. Johns Lake",total area of both lakes,"H-369-P127-48-18-P190,-23-P192",0202000205,Upper Hudson River,Hudson Headwaters,5,Warren,c,pond,43.1,Acres,IR3_unassessed,3,fishing,IR3_unassessed,3,No_Data,NYSDEC
1104-0142,Lixard Pond,entire lake,H-369-P127-48-P197,0202000205,Upper Hudson River,Hudson Headwaters,5,Warren,a,pond,22.7,Acres,IR3_unassessed,3,secondary_contact_recreation,IR3_unassessed,3,No_Data,NYSDEC
1104-0143,Minor Tribs to Great Sacandaga Lake,total length of selected/smallers tribs to lake,H-369-P127-50 thru 75,0202000207,Upper Hudson River,Hudson Headwaters,5,Saratoga,c,flow,57.4,Miles,IR3_unassessed,3,primary_contact_recreation,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0144,Northville Lake,entire lake,H-369-P127-50-P197a,0202000206,Upper Hudson River,Hudson Headwaters,5,Saratoga,b,pond,37.7,Acres,IR3_unassessed,3,fishing,IR3_unassessed,3,No_Data,NYSDEC
1104-0145,Beecher Creek and tribs,entire stream and tribs,H-369-P127-58,0202000207,Upper Hudson River,Hudson Headwaters,5,Saratoga,c(t),flow,24,Miles,IR3_unassessed,3,fishing,IR3_unassessed,3,No_Data,NYSDEC
1104-0146,"Old Pond, Rice Pond",total area of both lakes,"H-369-P127-58-P204,64-P207",0202000207,Upper Hudson River,Hudson Headwaters,5,Saratoga,c(t),pond,25.7,Acres,IR3_unassessed,3,fishing,IR3_unassessed,3,No_Data,NYSDEC
1104-0147,Sand Creek and tribs,entire stream and tribs,H-369-P127-64,0202000207,Upper Hudson River,Hudson Headwaters,5,Saratoga,c(t),flow,26.7,Miles,IR3_unassessed,3,shellfishing,not-applicable,not-applicable,not-applicable,NYSDEC
1104-0148,Sand Lake,entire lake,H-369-P127-64-P210,0202000207,Upper Hudson River,Hudson Headwaters,5,Saratoga,c,pond,53.6,Acres,IR3_unassessed,3,source_of_water_supply,not-applicable,not-applicable,not-applicable,NYSDEC
