"LAKE_HISTORY_ID","LOCATION_PWL_ID","within_period","use","type","parameter","fraction","units","n_samples_collected","n_years_sampled","n_exceedances","n_years_w_exceedances","n_no_result_value_provided","n_threshold_data_absent","notes","X","waterbody","PWS.ID","PWS.Name","PWS.Type","Primary.Source","Counties.Served","Cities.Served","PopulationServed.Count","Number.of.Facilities","Owner.Type"
"0105FRE0160","0105-0021",FALSE,"secondary_contact_recreation","recreation","phosphorus","total","ug/l",2,1,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105FRE0160","0105-0021",TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",12,3,0,0,0,10,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105FRE0160","0105-0021",FALSE,"source_of_water_supply","health_water-source","ammonia","total","ug/l",2,1,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105FRE0160","0105-0021",TRUE,"source_of_water_supply","health_water-source","ammonia","total","ug/l",12,3,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105FRE0160","0105-0021",TRUE,"fishing","none","ph","total","ph_units",7,3,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105FRE0160","0105-0021",FALSE,"source_of_water_supply","health_water-source","magnesium","total","ug/l",4,1,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105FRE0160","0105-0021",TRUE,"source_of_water_supply","health_water-source","magnesium","total","ug/l",6,1,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105FRE0160","0105-0021",TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",7,3,8,3,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105FRE0160","0105-0021",TRUE,"source_of_water_supply","health_water-source","nitrate_nitrite","total","ug/l",13,3,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105FRE0160","0105-0021",TRUE,"source_of_water_supply","health_water-source","nitrite","total","ug/l",8,2,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105FRE0160","0105-0021",TRUE,"source_of_water_supply","health_water-source","sulfate","total","ug/l",15,3,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105FRE0160","0105-0021",TRUE,"source_of_water_supply","health_water-source","arsenic","total","ug/l",14,3,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105FRE0160","0105-0021",TRUE,"source_of_water_supply","aesthetic_water-supply","manganese","total","ug/l",14,3,6,3,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105MIN0165A","0105-0029",TRUE,"source_of_water_supply","health_water-source","arsenic","total","ug/l",6,2,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105MIN0165A","0105-0029",TRUE,"source_of_water_supply","aesthetic_water-supply","manganese","total","ug/l",5,2,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105MIN0165A","0105-0029",TRUE,"secondary_contact_recreation","recreation","phosphorus","total","ug/l",3,1,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105MIN0165A","0105-0029",TRUE,"source_of_water_supply","health_water-source","ammonia","total","ug/l",5,2,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105MIN0165A","0105-0029",TRUE,"fishing","aquatic_chronic","ammonia","total","ug/l",5,2,0,0,0,4,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105MIN0165A","0105-0029",TRUE,"source_of_water_supply","health_water-source","nitrate","total","ug/l",3,1,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105MIN0165A","0105-0029",TRUE,"primary_contact_recreation","recreation","phosphorus","total","ug/l",3,1,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105MIN0165A","0105-0029",TRUE,"source_of_water_supply","aesthetic_water-supply","iron","total","ug/l",6,2,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105MIN0165A","0105-0029",TRUE,"source_of_water_supply","health_water-source","chloride","total","ug/l",5,1,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105MIN0165A","0105-0029",TRUE,"source_of_water_supply","health_water-source","nitrite","total","ug/l",6,1,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105MIN0165A","0105-0029",TRUE,"source_of_water_supply","health_water-source","magnesium","total","ug/l",6,1,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105MIN0165A","0105-0029",TRUE,"source_of_water_supply","health_water-source","nitrate_nitrite","total","ug/l",4,2,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105MIN0165A","0105-0029",TRUE,"fishing","aquatic_chronic","nitrite","total","ug/l",6,1,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105MIN0165A","0105-0029",TRUE,"fishing","none","dissolved_oxygen","dissolved","mg/l",4,2,0,0,0,0,"n_exceedances may not be intiutive for this parameter because there are multiple components to the WQS. n_exceedances may be greater than n_samples_collected if a single sample was marked as an exceedance for multiple components of the WQS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105MIN0165A","0105-0029",TRUE,"fishing","none","ph","total","ph_units",4,2,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105MIN0165A","0105-0029",TRUE,"source_of_water_supply","health_water-source","sulfate","total","ug/l",6,2,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0105UWB0166M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0020",FALSE,"source_of_water_supply","health_water-source","ammonia","total","ug/l",79,10,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0202CHA0122","0202-0020",FALSE,"source_of_water_supply","health_water-source","nitrate_nitrite","total","ug/l",36,7,0,0,0,0,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
